gene_id,gene_name,log(fit_beta),log(fit_gamma)
ENSMUSG00000048960,Prex2,-2.7416055470858405,-2.171094168641977
ENSMUSG00000057715,A830018L16Rik,-1.9827176791345864,-2.0521777046525647
ENSMUSG00000025931,Paqr8,-2.308242194364995,-2.12753472506883
ENSMUSG00000026109,Tmeff2,0.05374787755230697,-0.1171799709019339
ENSMUSG00000097649,Gm10561,0.4932362027805075,0.29230376463409835
ENSMUSG00000055567,Unc80,0.11390891172571005,-1.368882002493054
ENSMUSG00000006304,Arpc2,1.420974025688091,-1.2232290547207472
ENSMUSG00000026227,2810459M11Rik,-2.528357656627586,-2.147900343499097
ENSMUSG00000034343,Ube2f,0.2552380733718306,-1.8433425224523703
ENSMUSG00000051185,Fam174a,2.5605232273736296,-1.529192980462002
ENSMUSG00000070695,Cntnap5a,-0.16767281773623188,-0.4831264927325267
ENSMUSG00000064302,Clasp1,0.472404770279284,-0.9810931192752802
ENSMUSG00000026447,Pik3c2b,-1.1206376319856426,-1.4691408978645148
ENSMUSG00000018189,Uchl5,0.5502414210707907,-1.5958220075908809
ENSMUSG00000035131,Brinp3,-1.0495372895257489,-0.9209923627397952
ENSMUSG00000040423,Rc3h1,-0.8897138158641442,-1.3935301897635386
ENSMUSG00000026585,Kifap3,1.8458735945542741,-1.4425119126098935
ENSMUSG00000026568,Mpc2,1.4199085509063494,-1.3169495740264927
ENSMUSG00000026554,Dcaf8,0.1983201834031564,-2.2282338827715664
ENSMUSG00000038034,Igsf8,0.888298332007063,-0.7531142248723884
ENSMUSG00000044708,Kcnj10,0.07648629494193797,-2.6514310738240745
ENSMUSG00000038936,Sccpdh,0.7785299058454861,-1.5320284335166916
ENSMUSG00000038576,Susd4,0.20944018024603828,-1.0606624412033772
ENSMUSG00000097784,A430105J06Rik,-1.5499563525120128,-1.4965601048588393
ENSMUSG00000016494,Cd34,3.4654672401110265,1.2351644724973068
ENSMUSG00000042686,Jph1,-2.26872755694538,-2.110824655389973
ENSMUSG00000028033,Kcnq5,-0.33012273859024904,-1.306580707481299
ENSMUSG00000026158,Ogfrl1,1.9613172915076773,-1.1380019639788304
ENSMUSG00000026141,Col19a1,-1.5627868737758266,-1.3405007348817166
ENSMUSG00000026090,2010300C02Rik,-0.2988543632691277,-1.8443379799477344
ENSMUSG00000050967,Creg2,1.0784476794184268,-1.3709246791278722
ENSMUSG00000025982,Sf3b1,0.3826372100498124,-2.369744252631236
ENSMUSG00000038174,Fam126b,1.550909935612271,-1.352554023480411
ENSMUSG00000025959,Klf7,1.7654095031982873,-0.5780981877956736
ENSMUSG00000026000,Lancl1,-0.17078926458485416,-0.6008047849653428
ENSMUSG00000062209,Erbb4,0.8295850450663226,-0.1948665287986256
ENSMUSG00000026193,Fn1,0.4673419146874482,-1.9432686312927008
ENSMUSG00000026204,Ptprn,1.6589220804628726,-0.7540732751314942
ENSMUSG00000033061,Resp18,1.4436014804654875,-0.6005809025679073
ENSMUSG00000026235,Epha4,-0.36968044094105296,-1.0864794043015278
ENSMUSG00000026249,Serpine2,-0.690236804970403,-2.350123502572304
ENSMUSG00000026163,Sphkap,0.1568542751528372,-0.4196928209911044
ENSMUSG00000036766,Dner,0.10074300757832352,-1.1861715184435422
ENSMUSG00000057329,Bcl2,-1.695001222793204,-0.815186515097747
ENSMUSG00000001674,Ddx18,-0.45615407292944,-1.7476257768687868
ENSMUSG00000026347,Tmem163,1.7123464108139967,-1.2558318678844214
ENSMUSG00000026425,Srgap2,-2.3717719898310663,-1.2681306204347258
ENSMUSG00000009418,Nav1,-0.4714166508581536,-1.5893763457751926
ENSMUSG00000079283,2310009B15Rik,-0.5383082485456356,-1.3906523919877618
ENSMUSG00000026360,Rgs2,1.0523729917192293,-0.31280085437740474
ENSMUSG00000032666,1700025G04Rik,-0.6347759410307582,-1.1361256806736528
ENSMUSG00000015484,Fam163a,-0.9066452992118176,-1.3301217740218538
ENSMUSG00000026566,Mpzl1,0.6382969971295481,-1.9339469185849647
ENSMUSG00000013593,Ndufs2,1.3471956483528214,-1.9695449906223848
ENSMUSG00000007097,Atp1a2,2.4172786562215247,0.07272959838396757
ENSMUSG00000057335,Cep170,0.5470162582418957,-1.5255487427740824
ENSMUSG00000026509,Capn2,-0.6277344543416993,-1.2190887049581922
ENSMUSG00000039239,Tgfb2,-0.2386330163526613,-1.6083273316895743
ENSMUSG00000037624,Kcnk2,0.9575182172026372,-1.7959338742964337
ENSMUSG00000040653,Ppp1r14c,0.3133292092910527,-0.7617904972785029
ENSMUSG00000047648,Fbxo30,-0.2611737223913552,-0.08793250286855088
ENSMUSG00000019996,Map7,-0.1268237649440401,-0.07953539837437128
ENSMUSG00000019986,Ahi1,0.41798575972199736,-1.445794606248004
ENSMUSG00000019998,Stx7,1.4348312981466091,-0.7461861425491352
ENSMUSG00000038481,Cdk19,-1.5901250454061355,-1.3137849761154872
ENSMUSG00000019831,Wasf1,1.0291914880439816,-1.1619978733545562
ENSMUSG00000050953,Gja1,2.111103891419964,-0.5315872893652531
ENSMUSG00000038039,Gcc2,-0.10361810582777753,-1.5387995465831978
ENSMUSG00000058297,Spock2,0.9219178943467148,-1.1423503398206811
ENSMUSG00000069601,Ank3,-0.4491581088611633,-1.6004646881592268
ENSMUSG00000052613,Pcdh15,-3.8780033291961016,-1.8620070000580584
ENSMUSG00000049422,Chchd10,3.285154070729516,-0.8391258451430529
ENSMUSG00000033208,S100b,-0.5221432048505018,-1.4539810874627035
ENSMUSG00000001150,Mcm3ap,0.2402805008352423,-0.7458293618637603
ENSMUSG00000054206,Gzmm,-1.4423729388122664,-1.1413237310234805
,Hmha1,0.05848974848780818,0.38861057900238816
ENSMUSG00000004933,Matk,3.0624800006770494,-0.868954907454982
ENSMUSG00000004931,Apba3,-0.24317083928088026,-0.6116214315369416
ENSMUSG00000034612,Chst11,-1.855666073672101,-1.3535392572265668
,A230046K03Rik,-0.8539440882258609,-1.43832917997702
ENSMUSG00000015889,Lta4h,-0.7932841436181304,-1.4588150080176705
ENSMUSG00000019943,Atp2b1,0.9485424637070756,-1.4893617109049118
ENSMUSG00000019966,Kitl,0.6277903528506285,-1.1969016131565962
ENSMUSG00000019971,Cep290,0.025684506497948886,-0.8561986623018171
ENSMUSG00000053825,Ppfia2,-3.0191421628898474,-2.4294683723437696
ENSMUSG00000020186,Csrp2,1.4441246038563005,-0.826455931529446
ENSMUSG00000058799,Nap1l1,-0.5868345852757123,-1.3179420837489322
ENSMUSG00000020205,Phlda1,1.0498054752003394,-1.3017733152652553
ENSMUSG00000020154,Ptprb,-1.0700962816006658,-1.8849029722079744
ENSMUSG00000020224,Llph,0.2859409729844947,-1.8014580353037124
ENSMUSG00000034707,Gns,-0.30299925024312685,-0.2628399300041596
ENSMUSG00000025422,Agap2,0.18377716595137614,-1.5217427173983133
ENSMUSG00000005683,Cs,-0.059357402813343986,-1.4124067865834244
ENSMUSG00000025351,Cd63,1.816683786765744,-1.2648403305886824
ENSMUSG00000096054,Syne1,-0.9644558267469776,-1.3164157841606243
ENSMUSG00000015305,Sash1,-1.7707292694626675,-2.4321090935937364
ENSMUSG00000060487,Samd5,-0.8793171288872182,-1.214445825048042
ENSMUSG00000019790,Stxbp5,1.4542720215275349,-1.3708691426172286
ENSMUSG00000019820,Utrn,-3.0063663859619574,-2.1891285029712635
ENSMUSG00000061983,Rps12,1.1351530801583585,-1.7796452401394267
ENSMUSG00000019899,Lama2,-1.961606164395126,-1.4670571831749286
ENSMUSG00000069662,Marcks,-0.7680102676989196,-1.5293419876766037
ENSMUSG00000038446,Cdc40,-0.8218963620793303,-1.1329671158009802
ENSMUSG00000019803,Nr2e1,0.3699716804767609,0.2817157587928184
ENSMUSG00000038248,Sobp,2.3838911914463417,-1.4085345770070792
ENSMUSG00000020230,Prmt2,0.5977745845693997,-1.2063342178212446
ENSMUSG00000035781,R3hdm4,2.513291888891516,-0.889713157464249
ENSMUSG00000020150,Gamt,4.869677984800398,1.2542245923910142
ENSMUSG00000020167,Tcf3,0.1603380816304549,-1.3601017577929024
ENSMUSG00000004937,Sgta,0.2979339642060477,-2.085303063665501
ENSMUSG00000055053,Nfic,0.4917832298566945,-0.9383560076159826
ENSMUSG00000036112,Metap2,1.155517110561487,-1.4089085952959384
ENSMUSG00000020029,Nudt4,-0.06481442979334741,-2.043964854084176
ENSMUSG00000035864,Syt1,-1.6067128500324557,-1.5660562655180568
ENSMUSG00000034024,Cct2,1.5856000939858181,-1.3074789902230164
ENSMUSG00000052681,Rap1b,0.8113301468706149,-1.4630333839119436
ENSMUSG00000025795,Rassf3,-1.0945486173360903,-1.367707184503718
ENSMUSG00000034602,Mon2,-1.2286123894722605,-1.5565994214809609
ENSMUSG00000040441,Slc26a10,1.198541224442305,-0.5261173084366942
ENSMUSG00000040043,Rbms2,-1.0947388105491227,-1.1301502221739974
ENSMUSG00000090841,Myl6,0.2465743733808481,0.014293089772741482
ENSMUSG00000034209,Rasl10a,4.094502420767054,-0.5627344872871617
ENSMUSG00000020431,Adcy1,3.64146779755885,-1.0513026385576365
ENSMUSG00000048834,Vstm2a,-2.5613701521334917,-1.4262206486586284
