gene_id,gene_name,log(fit_beta),log(fit_gamma)
ENSG00000049249,TNFRSF9,0.21910671938952694,-1.0455758151792196
ENSG00000284716,AL034417.3,-0.4377883236478468,-1.0495864574823814
ENSG00000142798,HSPG2,0.8767222481358073,-0.9701639723015396
ENSG00000020633,RUNX3,-1.1840074642220682,-0.7459824383603936
ENSG00000142748,FCN3,2.9764307721736403,-1.4995648129869157
ENSG00000121769,FABP3,1.616254645710243,-0.7947932000970793
ENSG00000084636,COL16A1,1.4299630025520111,-1.2670600896791762
ENSG00000119535,CSF3R,-1.3901084166733708,-1.0726518710749158
ENSG00000117461,PIK3R3,-1.8637787003414907,-1.1882917028795803
ENSG00000132122,SPATA6,-0.4909137259757135,-1.0213488991256394
ENSG00000203963,C1orf141,0.7352949590984798,-0.3796752683320753
ENSG00000178965,ERICH3,0.5568486818129255,-0.7419511784056254
ENSG00000137962,ARHGAP29,0.4229424585989031,-0.9907503130753098
ENSG00000117525,F3,0.5290412424037946,-0.9634286705676942
ENSG00000179902,C1orf194,4.133558880711493,-0.3338378121922689
ENSG00000134242,PTPN22,-1.79713400360632,-0.9569315585188968
ENSG00000155761,SPAG17,-0.602899783938085,-0.8234326479951191
ENSG00000196754,S100A2,3.6583602520089484,0.1929677421594044
ENSG00000158764,ITLN2,3.994978667317554,0.7356975346750949
ENSG00000186517,ARHGAP30,-0.5327315929210135,-1.2458463028785862
ENSG00000203747,FCGR3A,3.350888798886549,-0.5803113238845766
ENSG00000198574,SH2D1B,-0.9516701963605873,-1.4537839840668518
ENSG00000198821,CD247,-0.2982197008890914,0.03977222999783931
ENSG00000143196,DPT,3.020821955325704,0.9241469498765482
ENSG00000188404,SELL,1.6013041276547413,-0.46024226505399396
ENSG00000116679,IVNS1ABP,-0.21305935796439104,-1.0876694696470468
ENSG00000073756,PTGS2,3.1985983601506383,-0.6315892897303449
ENSG00000159176,CSRP1,2.9825844889340414,-0.8598735458902163
ENSG00000133056,PIK3C2B,-1.1417604664122318,-1.1262309552133662
ENSG00000196188,CTSE,3.2553913185498478,0.10860313410139837
ENSG00000136634,IL10,3.042742849022874,-0.4750772858457525
ENSG00000162894,FCMR,1.0688886352795381,-0.8702997763525758
ENSG00000196878,LAMB3,0.8215448278368674,-0.9001677534070492
ENSG00000117595,IRF6,1.677784295121152,-1.0748641578910374
ENSG00000116962,NID1,-1.0421347264720004,-0.8631709472796626
ENSG00000187608,ISG15,2.8856833311923173,-0.7994403289265638
ENSG00000285945,AC242022.2,-1.770308972827657,-2.5497869488922005
ENSG00000028137,TNFRSF1B,-0.3388120445454816,-1.5740501311463764
ENSG00000158825,CDA,1.1854380205944208,-0.8186143807655506
ENSG00000162551,ALPL,0.010373004542763098,-0.9054769700571396
ENSG00000142765,SYTL1,1.7345010527169302,-0.8287055858167081
ENSG00000182866,LCK,0.6351690389588167,-1.0009057155883931
ENSG00000092850,TEKT2,3.0923349968658185,-0.7691498629718971
ENSG00000163879,DNALI1,3.4510892688246586,-0.6990927766620526
ENSG00000127603,MACF1,-1.9318835319518304,-1.4110477020759438
ENSG00000186973,FAM183A,1.834329368658102,-0.933229162762884
ENSG00000066056,TIE1,-0.015450008473739915,-1.914667052318236
ENSG00000117472,TSPAN1,1.8752518183766558,-1.54755153698085
ENSG00000142973,CYP4B1,2.838179409259143,-0.6400235067953476
ENSG00000186160,CYP4Z1,-0.8767724765067041,-1.0751931994295472
ENSG00000162409,PRKAA2,0.30406664857374416,-0.971100682213132
ENSG00000081985,IL12RB2,-1.5368932967220752,-1.9181356919409027
ENSG00000162614,NEXN,-0.6641320522874766,-2.032522193506412
ENSG00000117114,ADGRL2,-1.3422598619863897,-0.99507046101046
ENSG00000064886,CHI3L2,1.8848697815757205,-0.644605991773774
ENSG00000143079,CTTNBP2NL,-1.5032629023607855,-1.3030831806972971
ENSG00000116824,CD2,1.7050215580393606,-0.38856129618217095
ENSG00000160838,LRRC71,2.709473940671966,-0.9335521368465284
ENSG00000163563,MNDA,1.8807962041459083,-0.7149596491724465
ENSG00000224259,LINC01133,0.4875540206825227,-0.3542479560409898
ENSG00000026751,SLAMF7,-0.9720446084326959,-1.049124818926911
ENSG00000162733,DDR2,-1.1882320505171515,-1.708829100667555
ENSG00000143184,XCL1,3.788175660182976,-0.7767104200687716
ENSG00000094963,FMO2,2.2368901352944057,0.398818306305922
ENSG00000116161,CACYBP,1.6532052355656162,-1.2068152345672558
ENSG00000116191,RALGPS2,-2.3732801242101704,-2.3217403381502058
ENSG00000135862,LAMC1,-1.1616860901988355,-0.9404412167655896
ENSG00000116667,C1orf21,-0.9139576180780882,-0.8299087358246772
ENSG00000116690,PRG4,4.20481753337883,0.9469385483452218
ENSG00000127074,RGS13,1.0780688824430578,-1.4931076034843305
ENSG00000116741,RGS2,3.443148596169641,-0.7003048608651534
ENSG00000000971,CFH,1.1902220525982643,-0.8528395386265403
ENSG00000188783,PRELP,3.2338457367364883,-0.04983662093913787
ENSG00000122188,LAX1,-0.003130418709255137,-0.985344839771508
ENSG00000263961,RHEX,-1.5304542163465171,-2.416036215078996
ENSG00000230937,MIR205HG,-1.1979613601067711,-0.8860886618536445
ENSG00000117594,HSD11B1,1.708372549923519,-0.5027274465614406
ENSG00000009790,TRAF3IP3,-0.3856649951815124,-0.9000755403345244
ENSG00000186205,MARC1,-0.012893761804586429,-0.96468832743639
ENSG00000162711,NLRP3,-0.04117258953541412,0.014200681823752372
ENSG00000134460,IL2RA,-0.8498591502219192,-1.0369765003152347
ENSG00000225383,SFTA1P,0.2217303198145044,-2.2782990056470167
ENSG00000148488,ST8SIA6,-2.675678170633525,-2.741122684297657
ENSG00000107890,ANKRD26,-0.4250776289898428,-0.9000513181914154
ENSG00000276850,AC245041.2,-0.5702054615069767,-1.424308003053822
ENSG00000182010,RTKN2,-0.4247869871205002,-0.11178132434494943
ENSG00000122877,EGR2,2.5074041760293184,-0.977491829099596
ENSG00000180644,PRF1,2.744902852556289,-0.3320376881293329
ENSG00000107742,SPOCK2,3.1859399635285284,-0.8148808169209041
ENSG00000156042,CFAP70,-0.026609067801215504,-0.8463916140254263
ENSG00000133661,SFTPD,4.760423954905372,0.8533614254262469
ENSG00000151224,MAT1A,2.252913039773329,-0.334057490895445
ENSG00000107796,ACTA2,2.502746220362485,-1.4569812698737987
ENSG00000148677,ANKRD1,0.6667138053087626,0.705255600039856
ENSG00000095637,SORBS1,-2.126069139292764,-1.2717253829734445
ENSG00000107566,ERLIN1,-0.40520371622658496,-1.2952186936352572
ENSG00000197748,CFAP43,-1.3616379048859986,-1.7533421244774654
ENSG00000148841,ITPRIP,-0.7817560683042769,-1.1991460895063395
ENSG00000165813,CCDC186,0.40448749038357096,-1.2379345475228802
ENSG00000182022,CHST15,-0.781645310085188,-1.1451627921834404
ENSG00000171811,CFAP46,0.11314638873813054,-1.2149248361537368
ENSG00000151651,ADAM8,1.5360162481033437,-0.9864702055527746
ENSG00000107485,GATA3,0.7652159010458796,-0.9595528066885722
ENSG00000048740,CELF2,-1.6024277076157012,-1.1161725317310525
ENSG00000260314,MRC1,0.6248453014820852,-0.02908259524472089
ENSG00000077420,APBB1IP,-1.234279681920662,-1.043108869420362
ENSG00000148516,ZEB1,-1.63529796307228,-1.4374639673575085
ENSG00000095794,CREM,-1.4566269449699514,-1.711354873669333
ENSG00000169826,CSGALNACT2,-1.0964193702115201,-1.383700406548051
ENSG00000072401,UBE2D1,0.5833186842442831,-0.6401138322211263
ENSG00000122862,SRGN,1.6782901775692247,-0.6870033548585847
ENSG00000173267,SNCG,4.447059962807852,1.2732342237194787
