gene_id,gene_name,log(velocity_gamma)
ENSG00000188290,HES4,-5.5778375
ENSG00000221978,CCNL2,-2.3666720000000003
ENSG00000248333,CDK11B,-1.4238688999999998
ENSG00000008128,CDK11A,-1.3167392
ENSG00000008130,NADK,-2.9422748
ENSG00000142609,CFAP74,-1.3111957
ENSG00000116198,CEP104,-1.4510957
ENSG00000131697,NPHP4,-1.3018813
ENSG00000049249,TNFRSF9,-3.7978497000000004
ENSG00000284716,AL034417.3,-6.156099299999999
ENSG00000116285,ERRFI1,0.23828532
ENSG00000171603,CLSTN1,-2.1030304
ENSG00000160049,DFFA,-4.4431543
ENSG00000177000,MTHFR,-1.5119231000000002
ENSG00000179051,RCC2,-2.7254612000000003
ENSG00000188257,PLA2G2A,-5.158958999999999
ENSG00000142798,HSPG2,-6.071075
ENSG00000169641,LUZP1,-0.6041929
ENSG00000088280,ASAP3,-0.6078751
ENSG00000117318,ID3,-5.952098400000001
ENSG00000020633,RUNX3,-0.19069016
ENSG00000142748,FCN3,-4.0889626
ENSG00000126705,AHDC1,-0.996568
ENSG00000121769,FABP3,-2.3961685
ENSG00000084636,COL16A1,-4.588182
ENSG00000162520,SYNC,-2.4283106
ENSG00000119535,CSF3R,-1.2306418
ENSG00000010803,SCMH1,-0.032590932999999996
ENSG00000127129,EDN2,-4.7248135
ENSG00000132781,MUTYH,-1.1374822
ENSG00000070759,TESK2,0.50653106
ENSG00000159588,CCDC17,-7.2459050000000005
ENSG00000117461,PIK3R3,-0.8567302
ENSG00000132122,SPATA6,-3.3926845
ENSG00000169213,RAB3B,-2.5351553
ENSG00000162402,USP24,-0.96156406
ENSG00000162407,PLPP3,-1.5584476
ENSG00000116641,DOCK7,-0.6718691
ENSG00000203963,C1orf141,-2.0437796
ENSG00000118454,ANKRD13C,-0.6274066999999999
ENSG00000178965,ERICH3,-2.3471866
ENSG00000116791,CRYZ,-2.6122813
ENSG00000097096,SYDE2,-1.3903682
ENSG00000174842,GLMN,-0.20383748
ENSG00000223745,CCDC18-AS1,0.10212262
ENSG00000137962,ARHGAP29,-2.590776
ENSG00000117525,F3,-2.2324312
ENSG00000085491,SLC25A24,-1.3469248999999999
ENSG00000179902,C1orf194,-4.740342
ENSG00000162777,DENND2D,-2.1310518
ENSG00000134242,PTPN22,-0.43388233
ENSG00000155761,SPAG17,-1.6310314
ENSG00000134250,NOTCH2,-0.5540654
ENSG00000131781,FMO5,0.00657289
ENSG00000270629,NBPF14,-1.3882938999999999
ENSG00000203804,ADAMTSL4-AS1,1.8927841
ENSG00000163221,S100A12,-7.8368896999999995
ENSG00000143546,S100A8,-6.185569999999999
ENSG00000197956,S100A6,-4.8999968
ENSG00000196754,S100A2,-4.1079044
ENSG00000272030,AL162258.2,-3.7175272000000006
ENSG00000185499,MUC1,-4.9978940000000005
ENSG00000163374,YY1AP1,-1.3578658000000001
ENSG00000132680,KHDC4,-1.3443766000000001
ENSG00000116584,ARHGEF2,0.18393746
ENSG00000143319,ISG20L2,-3.3238807
ENSG00000132694,ARHGEF11,-2.8078637000000004
ENSG00000117036,ETV3,-1.2824506000000002
ENSG00000179914,ITLN1,-5.089176999999999
ENSG00000158764,ITLN2,-3.6773547999999994
ENSG00000186517,ARHGAP30,-3.0479276
ENSG00000203747,FCGR3A,-4.5645432
ENSG00000198574,SH2D1B,-0.56931996
ENSG00000198821,CD247,0.022161454
ENSG00000143196,DPT,-2.144046
ENSG00000117479,SLC19A2,-0.45676294
ENSG00000188404,SELL,-3.2112103
ENSG00000162753,SLC9C2,-1.3248948999999999
ENSG00000135823,STX6,-0.14103273
ENSG00000143333,RGS16,-4.0299705999999995
ENSG00000116679,IVNS1ABP,-1.3101867
ENSG00000073756,PTGS2,-4.679269000000001
ENSG00000159176,CSRP1,-5.000012
ENSG00000133056,PIK3C2B,-2.181338
ENSG00000158711,ELK4,-2.6861175999999998
ENSG00000133065,SLC41A1,-1.3583011999999999
ENSG00000276600,RAB7B,-1.2844323999999998
ENSG00000196188,CTSE,-4.008363200000001
ENSG00000136634,IL10,-4.1649275
ENSG00000162894,FCMR,-4.8454475
ENSG00000162896,PIGR,-4.7859225
ENSG00000203709,MIR29B2CHG,-0.5984430000000001
ENSG00000196878,LAMB3,-3.027021
ENSG00000117595,IRF6,-9.691485
ENSG00000092978,GPATCH2,-1.1716336
ENSG00000118873,RAB3GAP2,-0.91238093
ENSG00000203697,CAPN8,-1.6339556
ENSG00000143514,TP53BP2,-0.44515082
ENSG00000154380,ENAH,-0.6320245
ENSG00000143772,ITPKB,0.46675888
ENSG00000143793,C1orf35,-2.829962
ENSG00000069248,NUP133,-3.808797
ENSG00000135749,PCNX2,0.046969897999999996
ENSG00000054267,ARID4B,0.73851967
ENSG00000116962,NID1,-1.0292327
ENSG00000086619,ERO1B,0.56054914
ENSG00000153187,HNRNPU,-1.7126602
ENSG00000153207,AHCTF1,-1.106527
ENSG00000187608,ISG15,-3.4843612
ENSG00000162571,TTLL10,-2.483272
ENSG00000197785,ATAD3A,-2.6906128
ENSG00000149527,PLCH2,-2.995461
ENSG00000285945,AC242022.2,-3.2767656
ENSG00000049239,H6PD,-1.5827763000000001
ENSG00000171608,PIK3CD,-0.2120371
ENSG00000054523,KIF1B,0.6093466
ENSG00000028137,TNFRSF1B,-1.5476465
ENSG00000189337,KAZN,0.9040575000000001
ENSG00000065526,SPEN,-1.0247853
ENSG00000058453,CROCC,-0.38814175
ENSG00000158747,NBL1,-5.2498794
ENSG00000169914,OTUD3,-1.3718291999999999
ENSG00000158825,CDA,-2.3035324
ENSG00000162551,ALPL,-4.695467
ENSG00000173372,C1QA,-6.431989700000001
ENSG00000173369,C1QB,-6.6865478000000005
ENSG00000249087,ZNF436-AS1,-2.8845650000000003
ENSG00000142765,SYTL1,-6.4562125
ENSG00000130766,SESN2,-1.3657038000000001
ENSG00000162419,GMEB1,-1.9992346
ENSG00000182866,LCK,-2.1962072999999998
ENSG00000162521,RBBP4,0.039045744
ENSG00000142920,AZIN2,-1.7037898
ENSG00000126070,AGO3,-1.3148423
ENSG00000092850,TEKT2,-6.4369087
ENSG00000116863,ADPRHL2,-3.0650225
ENSG00000163879,DNALI1,-6.2325287000000005
ENSG00000127603,MACF1,0.099256255
ENSG00000168389,MFSD2A,-2.1391637
ENSG00000117000,RLF,0.49724057
ENSG00000186973,FAM183A,-2.709553
ENSG00000066056,TIE1,-2.1798732000000003
ENSG00000222009,BTBD19,-1.2228945
ENSG00000117472,TSPAN1,-3.5680212999999994
ENSG00000142973,CYP4B1,-4.1463966
ENSG00000186160,CYP4Z1,-2.4391830000000003
ENSG00000134717,BTF3L4,-1.9951146
ENSG00000162378,ZYG11B,-1.0665632
ENSG00000162409,PRKAA2,-3.7159487999999996
ENSG00000234807,LINC01135,-1.8086741000000002
ENSG00000081985,IL12RB2,-0.9364038
ENSG00000162614,NEXN,-1.7628624
ENSG00000137965,IFI44,-2.033857
ENSG00000117114,ADGRL2,-0.8668703000000001
