gene_id,gene_name,log(fit_beta),log(fit_gamma)
ENSMUSG00000025900,Rp1,-3.1254391626748137,-1.0972232756253413
ENSMUSG00000025902,Sox17,2.338953060382659,-0.7783366236902437
ENSMUSG00000060771,Tsga10,-1.551085686638464,-1.4966382832821226
ENSMUSG00000048234,Rnf149,-2.7553629017784664,-2.246750544250004
ENSMUSG00000026107,Nabp1,-1.9042059405319536,-1.4934659487254631
ENSMUSG00000018417,Myo1b,-0.35915318308602506,-0.9288412147728762
ENSMUSG00000096141,Dnah7a,-3.2675131469036764,-2.9613732283582173
ENSMUSG00000026094,Stk17b,1.2514579304767015,-0.8609571292124409
ENSMUSG00000042807,Hecw2,-1.9772513340557802,-1.666689059675995
ENSMUSG00000073678,Pgap1,-1.2417636951970654,-0.9165676776846418
ENSMUSG00000026019,Wdr12,0.31143330023412696,-0.36281215134330497
ENSMUSG00000025959,Klf7,0.8140648959046918,-0.3997071341129448
ENSMUSG00000025997,Ikzf2,-0.905329643783422,-1.017780021155756
ENSMUSG00000026193,Fn1,0.9829193102354338,-0.8173599100523226
ENSMUSG00000026185,Igfbp5,4.0048884409326435,0.8452392039791113
ENSMUSG00000055322,Tns1,0.7222719687381378,-0.8331697925827303
ENSMUSG00000047021,Cfap65,0.9192621459519676,-0.7941320542604732
ENSMUSG00000026235,Epha4,0.09896895262365167,-0.9714595792712222
ENSMUSG00000026249,Serpine2,2.010855896254005,-0.5428594765872368
ENSMUSG00000067158,Col4a4,0.8214087076340308,0.6105516624643784
ENSMUSG00000079436,Kcnj13,1.5205703280996337,-1.043088469923939
ENSMUSG00000026259,Ngef,-0.4836392756581935,-1.363923328851448
ENSMUSG00000099553,Gm29538,3.098967361747473,1.5607638758646247
ENSMUSG00000026301,Iqca,0.17761345320670055,-1.0187775403640356
ENSMUSG00000026285,Pdcd1,-1.028677837983024,-1.0455811603151342
ENSMUSG00000040710,St8sia4,-0.9526684291261406,-1.2442750376395548
ENSMUSG00000057329,Bcl2,-1.3487475940188265,-1.0141962229205617
ENSMUSG00000026390,Marco,3.7381450559780167,0.1111756897606064
