gene_id,gene_name,log(velocity_gamma)
ENSMUSG00000095041,AC149090.1,-1.7916515
ENSMUSG00000025900,Rp1,1.2538058
ENSMUSG00000025902,Sox17,-3.7251947
ENSMUSG00000060771,Tsga10,-2.3276658
ENSMUSG00000048234,Rnf149,-0.4629108
ENSMUSG00000026107,Nabp1,-0.75194424
ENSMUSG00000018417,Myo1b,-1.682965
ENSMUSG00000096141,Dnah7a,-0.3638936
ENSMUSG00000026094,Stk17b,-2.2313952
ENSMUSG00000042807,Hecw2,-0.5583585
ENSMUSG00000073678,Pgap1,-0.23942871
ENSMUSG00000026019,Wdr12,-1.4217113000000001
ENSMUSG00000040865,Ino80d,-0.6243334
ENSMUSG00000025959,Klf7,-1.3584718999999998
ENSMUSG00000051344,Plekhm3,1.6621145
ENSMUSG00000025997,Ikzf2,-0.49847776
ENSMUSG00000026193,Fn1,-1.8401418
ENSMUSG00000026185,Igfbp5,-3.4153345
ENSMUSG00000055322,Tns1,-2.7602732000000003
ENSMUSG00000047021,Cfap65,-2.7956696
ENSMUSG00000026235,Epha4,-1.8138223999999998
ENSMUSG00000073643,Wdfy1,-0.9854939
ENSMUSG00000026249,Serpine2,-2.7186197999999995
ENSMUSG00000067158,Col4a4,-1.0219274
ENSMUSG00000079436,Kcnj13,-3.1635322999999995
ENSMUSG00000026259,Ngef,-1.7363212
ENSMUSG00000099553,Gm29538,-1.7300831
ENSMUSG00000026301,Iqca,-1.9871718999999997
ENSMUSG00000026285,Pdcd1,-0.89243066
ENSMUSG00000040710,St8sia4,-1.3241903999999998
ENSMUSG00000057329,Bcl2,-0.9325766
ENSMUSG00000026383,Epb41l5,-0.31516284
ENSMUSG00000026390,Marco,-3.7661239999999996
ENSMUSG00000049690,Nckap5,1.0393145000000001
ENSMUSG00000026399,Cd55,-1.2394125
ENSMUSG00000026409,Pfkfb2,1.0233716
ENSMUSG00000026437,Cdk18,-3.3381517
ENSMUSG00000042066,Tmcc2,-6.391737
ENSMUSG00000041577,Prelp,-5.301924
ENSMUSG00000041926,Rnpep,-2.2043426
ENSMUSG00000041879,Ipo9,-1.3279086000000002
ENSMUSG00000041570,Camsap2,-1.6912387999999998
ENSMUSG00000026365,Cfh,-1.8332576
ENSMUSG00000018199,Ro60,-2.7469354
ENSMUSG00000026360,Rgs2,-3.2627966
ENSMUSG00000026358,Rgs1,-3.3894587
ENSMUSG00000026357,Rgs18,-4.4982157
ENSMUSG00000006014,Prg4,-3.2980256000000003
ENSMUSG00000066842,Hmcn1,-0.48701435
ENSMUSG00000026478,Lamc1,-0.5363475000000001
ENSMUSG00000004110,Cacna1e,-1.4424671999999998
ENSMUSG00000033671,Cep350,-0.84373266
ENSMUSG00000026594,Ralgps2,-0.22406366
ENSMUSG00000026721,Rabgap1l,0.95814145
ENSMUSG00000026701,Prdx6,-4.983532
ENSMUSG00000040265,Dnm3,0.09029007
ENSMUSG00000040181,Fmo1,-2.7722874
ENSMUSG00000040170,Fmo2,-1.1668873
ENSMUSG00000026691,Fmo3,-2.303543
ENSMUSG00000026576,Atp1b1,-2.9085862999999996
ENSMUSG00000040848,Sft2d2,-1.9946539
ENSMUSG00000026663,Atf6,-1.8156731
ENSMUSG00000026659,Dusp12,-1.7518988999999998
ENSMUSG00000038421,Fcrla,-1.8852370999999999
ENSMUSG00000038370,Pcp4l1,-2.714141
ENSMUSG00000058715,Fcer1g,-4.1469936
ENSMUSG00000007097,Atp1a2,-4.073005
ENSMUSG00000073489,Ifi204,-2.6194763
ENSMUSG00000050069,Grem2,-2.6854222
ENSMUSG00000004880,Lbr,-3.5223854
ENSMUSG00000073481,Marc2,-3.4440253
ENSMUSG00000039239,Tgfb2,-2.071314
ENSMUSG00000026605,Cenpf,-2.9737167
ENSMUSG00000026628,Atf3,-1.4614081
ENSMUSG00000037395,Rcor3,-1.4504071000000003
ENSMUSG00000016194,Hsd11b1,-1.9915418999999999
ENSMUSG00000087247,Alkal1,-5.4461713
ENSMUSG00000048960,Prex2,0.54135853
ENSMUSG00000016918,Sulf1,0.61135197
ENSMUSG00000041809,Efhc1,-1.9716938000000002
ENSMUSG00000025934,Gsta3,-3.5772980000000003
ENSMUSG00000026073,Il1r2,0.27351373
ENSMUSG00000026068,Il18rap,-0.39104414
ENSMUSG00000026043,Col3a1,-4.623143
ENSMUSG00000045954,Cavin2,-4.3363466
ENSMUSG00000025981,Coq10b,-1.2880138
ENSMUSG00000038349,Plcl1,0.25678548
ENSMUSG00000047361,Gm973,-2.0012776999999997
ENSMUSG00000067336,Bmpr2,-0.76765835
ENSMUSG00000041040,Fam117b,1.0662999
ENSMUSG00000073664,Nbeal1,-0.9377525999999999
ENSMUSG00000026012,Cd28,-2.7588787
ENSMUSG00000026011,Ctla4,0.26780015
ENSMUSG00000026009,Icos,-0.8588026
ENSMUSG00000025949,Pikfyve,-1.0405256999999999
ENSMUSG00000026180,Cxcr2,-0.7646206
ENSMUSG00000073650,Catip,-3.8976574
ENSMUSG00000026177,Slc11a1,-1.9284362000000002
ENSMUSG00000026208,Des,-4.4407687000000005
ENSMUSG00000079465,Col4a3,-0.28148693
ENSMUSG00000053161,Daw1,-2.5390096
ENSMUSG00000026289,Atg16l1,-2.1403112
ENSMUSG00000044337,Ackr3,-1.6618115000000002
ENSMUSG00000026307,Scly,-2.6665926
ENSMUSG00000034292,Traf3ip1,-2.3004142999999995
ENSMUSG00000026270,Capn10,-1.4838694
ENSMUSG00000047793,Sned1,-2.4098957000000003
ENSMUSG00000026319,Relch,-0.5995691999999999
ENSMUSG00000026380,Tfcp2l1,-2.6855752
ENSMUSG00000042510,AA986860,-3.0187225
ENSMUSG00000042474,Fcmr,-4.092048
ENSMUSG00000042268,Slc26a9,-5.535372
ENSMUSG00000064246,Chil1,-4.567146
ENSMUSG00000026421,Csrp1,-2.5940668999999996
ENSMUSG00000098243,Gm4258,0.49436682
ENSMUSG00000032487,Ptgs2,-5.4309316
ENSMUSG00000026480,Ncf2,-0.765755
ENSMUSG00000026470,Stx6,1.0295491
ENSMUSG00000026579,F5,0.10869125
ENSMUSG00000026578,Ccdc181,-2.8823540000000003
ENSMUSG00000026575,Nme7,-1.1172619
ENSMUSG00000026574,Dpt,-4.208065
ENSMUSG00000038463,Olfml2b,-3.5343324999999997
ENSMUSG00000059089,Fcgr4,-2.7665117
ENSMUSG00000026649,Cfap126,-3.2501526000000003
ENSMUSG00000006403,Adamts4,-0.6834127
ENSMUSG00000015316,Slamf1,-3.0974975
ENSMUSG00000003464,Pex19,-2.263945
ENSMUSG00000039384,Dusp10,-0.65290105
ENSMUSG00000026615,Eprs,-1.890768
ENSMUSG00000026640,Plxna2,-0.49951994
ENSMUSG00000016494,Cd34,-3.143869
ENSMUSG00000019773,Fbxo5,-3.4579203
ENSMUSG00000064065,Ipcef1,-0.22309629999999997
ENSMUSG00000060487,Samd5,-1.1961973999999997
ENSMUSG00000019790,Stxbp5,-0.07074064
