,gene_name,gamma,gene_id
0,SETX,0.25350022,ENSG00000107290
1,SECISBP2,0.26296067,ENSG00000187742
2,DENND4C,0.26847377,ENSG00000137145
3,CALD1,0.005380055,ENSG00000122786
4,AHR,0.1685567,ENSG00000106546
5,CPLANE1,0.10643418,ENSG00000197603
6,SIK1B,0.07837354,ENSG00000275993
7,ITPR2,0.7059586999999999,ENSG00000123104
8,PLXND1,0.05342611,ENSG00000004399
9,DNM1L,0.31658298,ENSG00000087470
10,AFTPH,0.40541735,ENSG00000119844
11,S100A6,0.00023279080000000003,ENSG00000197956
12,FTH1,0.0032243307,ENSG00000167996
13,USP24,0.4406853,ENSG00000162402
14,ARHGAP26,3.5949235,ENSG00000145819
15,HSPA9,0.14813903,ENSG00000113013
16,CYP1B1,0.012109718,ENSG00000138061
17,MYL6,0.000795939,ENSG00000092841
18,CTSB,0.015644887,ENSG00000164733
19,WDR43,0.20923921,ENSG00000163811
20,IFITM3,0.00039037334,ENSG00000142089
21,SLC20A1,0.16917527,ENSG00000144136
22,DDX21,0.10818303,ENSG00000165732
23,PTPRB,0.042768296,ENSG00000127329
24,MICU3,0.13790224,ENSG00000155970
25,BAZ2A,0.12288427,ENSG00000076108
26,CST3,0.00033810583,ENSG00000101439
27,CHD8,0.1374795,ENSG00000100888
28,PPP1R12A,0.27099684,ENSG00000058272
29,UTY,0.31101596,ENSG00000183878
30,CEMIP2,2.545962,ENSG00000135048
31,INSIG1,0.04770243,ENSG00000186480
32,RPL39,2.0625755e-05,ENSG00000198918
33,EZR,0.092934154,ENSG00000092820
34,HSPA13,0.06394436,ENSG00000155304
35,GCH1,0.07687177,ENSG00000131979
36,SPTY2D1,0.22655949,ENSG00000179119
37,SENP6,0.33166653,ENSG00000112701
38,PRKD2,0.24078469,ENSG00000105287
39,VTI1B,0.06713396,ENSG00000100568
40,TAGLN,0.00048108463,ENSG00000149591
41,KLRD1,0.12615085,ENSG00000134539
42,JAML,0.1257442,ENSG00000160593
43,GSE1,0.568444,ENSG00000131149
44,ARRB2,0.0037295886,ENSG00000141480
45,RPL28,0.0037260517,ENSG00000108107
46,MIB1,0.19959843,ENSG00000101752
47,BTAF1,0.21893504,ENSG00000095564
48,PTMA,0.0048591695,ENSG00000187514
49,PHF12,0.08682138,ENSG00000109118
50,PTBP1,0.06521873,ENSG00000011304
51,MOB1A,0.05703845,ENSG00000114978
52,SMAD2,0.32392403,ENSG00000175387
53,SRRT,0.11176866,ENSG00000087087
54,TNIP1,0.17978011,ENSG00000145901
55,EMB,0.15018809,ENSG00000170571
56,CD96,0.15342729,ENSG00000153283
57,ATP8A1,0.13456237,ENSG00000124406
58,EIF2S2,0.055215463,ENSG00000125977
59,TTC39C,0.08572236,ENSG00000168234
60,TRAF3IP3,0.067620024,ENSG00000009790
61,SENP5,0.14252701,ENSG00000119231
62,SKAP1,0.17299025,ENSG00000141293
63,PDCD4,0.43621933,ENSG00000150593
64,SERPINB9,0.19192389,ENSG00000170542
65,ZFP36L2,0.0006842076499999999,ENSG00000152518
66,MLLT10,0.47133270000000005,ENSG00000078403
67,RPRD2,0.6288029,ENSG00000163125
68,SRGN,0.05068832,ENSG00000122862
69,ARPP19,0.106879465,ENSG00000128989
70,CDKN1B,0.14178367,ENSG00000111276
71,FKBP5,0.84494495,ENSG00000096060
72,RBM27,0.30309892,ENSG00000091009
73,CDK12,0.15267693,ENSG00000167258
74,DCAF13,0.14978658,ENSG00000164934
75,CUX1,0.63137555,ENSG00000257923
76,ACAP2,0.70203745,ENSG00000114331
77,ZGPAT,0.08953213,ENSG00000197114
78,LPIN1,0.13073048,ENSG00000134324
79,XCL1,0.0014714497,ENSG00000143184
80,SRRM2,0.031840876000000004,ENSG00000167978
81,CD69,0.029964052,ENSG00000110848
82,ERI1,0.069297716,ENSG00000104626
83,IL10RA,0.052597492999999995,ENSG00000110324
84,PLXDC2,0.17264856,ENSG00000120594
85,CMIP,0.75746024,ENSG00000153815
86,PANK2,0.447222,ENSG00000125779
87,GPX3,0.0046354295000000005,ENSG00000211445
88,RPL34,0.0013594901000000001,ENSG00000109475
89,IGFBP5,0.004025713,ENSG00000115461
90,NUB1,1.5242368999999998,ENSG00000013374
91,MAP1B,0.094729744,ENSG00000131711
92,FTL,2.8838022e-05,ENSG00000087086
93,ANKRD28,0.09829977,ENSG00000206560
94,AREG,0.017116616,ENSG00000109321
95,STK17B,0.11449177599999999,ENSG00000081320
96,PAK2,0.084495716,ENSG00000180370
97,PTGS2,0.0072519583999999995,ENSG00000073756
98,NUTM2A-AS1,0.25729996,ENSG00000223482
99,ELF1,0.6790385999999999,ENSG00000120690
100,SGK1,0.029301075,ENSG00000118515
101,HPGD,0.047148235,ENSG00000164120
102,CADM1,0.17977838,ENSG00000182985
103,COTL1,0.02320059,ENSG00000103187
104,FCER1G,0.006094448299999999,ENSG00000158869
105,UFM1,0.057133805,ENSG00000120686
106,IPO5,0.02501317,ENSG00000065150
107,DDX17,0.038039606000000004,ENSG00000100201
108,ZNF331,0.21738398,ENSG00000130844
109,IFRD1,0.1523146,ENSG00000006652
110,DPH6,0.26823422,ENSG00000134146
111,FLNA,0.0048070825,ENSG00000196924
112,MTO1,0.27902123,ENSG00000135297
113,DPYSL3,0.022802542999999998,ENSG00000113657
114,IGFBP7,0.017950078,ENSG00000163453
115,LSG1,0.09300534,ENSG00000041802
116,CCDC80,0.03239153,ENSG00000091986
117,TCF4,0.16876972,ENSG00000196628
118,CRIP2,0.0047676363,ENSG00000182809
119,GPCPD1,0.01952506,ENSG00000125772
120,NR2F1,0.005400826700000001,ENSG00000175745
121,WDFY2,0.35700348,ENSG00000139668
122,CRLF3,0.51923794,ENSG00000176390
123,TMEM161B-AS1,0.1235645,ENSG00000247828
124,DCAF6,0.5335612,ENSG00000143164
125,NFIA,0.20206302,ENSG00000162599
126,RALGDS,0.21771057,ENSG00000160271
127,QSER1,0.10838019,ENSG00000060749
128,MAP4K4,0.6571665,ENSG00000071054
129,CAVIN1,0.02952509,ENSG00000177469
130,SFRP2,0.00079238135,ENSG00000145423
131,C3,0.07023619,ENSG00000125730
132,SPIN1,0.19132495,ENSG00000106723
133,PLAT,0.034311377000000004,ENSG00000104368
134,GTF2I,0.14958845,ENSG00000263001
135,EDA,0.5891456,ENSG00000158813
136,CBLB,0.5232542,ENSG00000114423
137,SESTD1,0.039136685,ENSG00000187231
138,MARK3,0.24704055,ENSG00000075413
139,MEG8,0.63919324,ENSG00000225746
140,MEG3,0.0014876045000000002,ENSG00000214548
141,C16orf72,0.10214488,ENSG00000182831
142,EFNA5,0.7636648,ENSG00000184349
143,COL1A1,0.0059593245,ENSG00000108821
144,CD74,0.0015566285,ENSG00000019582
145,TENM3,0.7404682,ENSG00000218336
146,IRAK3,0.0141076725,ENSG00000090376
147,GSN,0.0078933,ENSG00000148180
148,CLU,0.0034296163,ENSG00000120885
149,JADE2,0.16898757,ENSG00000043143
150,RPS19,0.001908756,ENSG00000105372
151,POLK,0.26002008,ENSG00000122008
152,DNAJB14,0.34152259999999995,ENSG00000164031
153,SS18,0.19331133,ENSG00000141380
154,CD55,0.1968933,ENSG00000196352
155,APOD,1.938557e-05,ENSG00000189058
156,MIR99AHG,0.35323048,ENSG00000215386
157,IGFBP6,0.0017016010999999999,ENSG00000167779
158,FBLN1,0.04214117,ENSG00000077942
159,IFITM2,0.007988443000000001,ENSG00000185201
160,MFAP4,0.00021962007,ENSG00000166482
161,KDM6A,0.8739367,ENSG00000147050
162,LRBA,1.0286752000000001,ENSG00000198589
163,CD53,0.094001755,ENSG00000143119
164,ARID5A,0.070019186,ENSG00000196843
165,CCDC18-AS1,0.18173994,ENSG00000223745
166,PCED1B,0.8344254999999999,ENSG00000179715
167,MMP2,0.010466849,ENSG00000087245
168,COMMD1,0.12848084,ENSG00000173163
169,FAM177A1,0.19809507,ENSG00000151327
170,GNA13,0.43704143,ENSG00000120063
171,KLF5,0.10425150000000001,ENSG00000102554
172,SPTAN1,0.4268024,ENSG00000197694
173,COL27A1,0.15430978,ENSG00000196739
174,YTHDF3,0.28155708,ENSG00000185728
175,SOD2,0.037626915,ENSG00000112096
176,JADE1,0.14816083,ENSG00000077684
177,GOLGB1,0.23145854,ENSG00000173230
178,SETD2,0.4608549,ENSG00000181555
179,COL6A2,0.011776692,ENSG00000142173
180,ADAMTS1,0.011528956000000002,ENSG00000154734
181,ETS1,0.10484609,ENSG00000134954
182,COL3A1,0.048407603,ENSG00000168542
183,POSTN,0.02722925,ENSG00000133110
184,CCDC14,0.07878526,ENSG00000175455
185,TAF3,0.3748486,ENSG00000165632
186,HSPA8,0.004199163499999999,ENSG00000109971
187,SEPTIN10,0.19196433,ENSG00000186522
188,ABCA10,0.210035,ENSG00000154263
189,ANKRD12,0.39328979999999997,ENSG00000101745
190,RAB3GAP1,0.1872851,ENSG00000115839
191,DSTN,0.028019758,ENSG00000125868
192,MIER1,0.26724103,ENSG00000198160
193,CDK11B,0.18454763,ENSG00000248333
194,CREM,0.20294562,ENSG00000095794
195,NDEL1,0.3309428,ENSG00000166579
196,RAB21,0.20043236,ENSG00000080371
197,PTPRM,0.17013182,ENSG00000173482
198,ZNF638,0.41294440000000004,ENSG00000075292
199,CNN1,0.038795262999999997,ENSG00000130176
200,PLAC9,0.0151411705,ENSG00000189129
201,SYNPO2,0.060666,ENSG00000172403
202,ANKRD36B,0.22855014,ENSG00000196912
203,STX16,0.08039073,ENSG00000124222
204,DPT,0.007119606999999999,ENSG00000143196
205,APOE,0.00013883696000000002,ENSG00000130203
206,CD44,0.22804013,ENSG00000026508
207,LYN,0.39521882,ENSG00000254087
208,MCM7,0.43128344,ENSG00000166508
209,STK17A,0.06523801,ENSG00000164543
210,BBS9,0.5150151,ENSG00000122507
211,TNRC18,0.20246217,ENSG00000182095
212,ZNF451,0.07030183,ENSG00000112200
213,TRIM38,0.07179698,ENSG00000112343
214,ADCY2,0.022469237000000003,ENSG00000078295
215,RMDN1,0.09626080000000001,ENSG00000176623
216,AFF1,0.54386157,ENSG00000172493
217,RUNX1,0.49260643,ENSG00000159216
218,TSPYL2,0.09898913,ENSG00000184205
219,PRNP,0.027010827999999997,ENSG00000171867
220,SPARCL1,0.012691915,ENSG00000152583
221,BBIP1,0.30580544,ENSG00000214413
222,ARGLU1,0.048263364,ENSG00000134884
223,SNHG14,0.13712215,ENSG00000224078
224,USP7,0.1558567,ENSG00000187555
225,ANKIB1,0.44565046,ENSG00000001629
226,TANC2,0.27452523,ENSG00000170921
227,MED13L,0.9744145000000001,ENSG00000123066
228,MAP3K2,0.18283597,ENSG00000169967
229,PRKY,0.8457108,ENSG00000099725
230,FAM91A1,0.07420025,ENSG00000176853
231,MS4A6A,0.0055534714,ENSG00000110077
232,MAN1A2,0.22678646,ENSG00000198162
233,ADAR,0.08581132400000001,ENSG00000160710
234,ACSL1,0.038640846,ENSG00000151726
235,EPB41L3,0.054332424000000004,ENSG00000082397
236,TBL1XR1,0.61175144,ENSG00000177565
237,CD81,0.024011402999999997,ENSG00000110651
238,ARID1B,0.53901154,ENSG00000049618
