,gene_name,gamma,gene_id
0,SH3KBP1,0.43619257,ENSG00000147010
1,MEF2C,0.09309769999999999,ENSG00000081189
2,SUB1,0.03979919,ENSG00000113387
3,SCLT1,0.37370749999999997,ENSG00000151466
4,SRP72,0.07219282,ENSG00000174780
5,RBM47,0.20805846,ENSG00000163694
6,ACTB,0.0001887395,ENSG00000075624
7,RTN4,0.20770463,ENSG00000115310
8,RPL39,9.1522634e-05,ENSG00000198918
9,RPL36,0.00016581066000000003,ENSG00000130255
10,IFITM2,0.011788056000000002,ENSG00000185201
11,IFITM3,0.001261974,ENSG00000142089
12,ARGLU1,0.10908381,ENSG00000134884
13,SMCHD1,0.1543395,ENSG00000101596
14,S100A9,0.0008669487,ENSG00000163220
15,JMJD1C,0.39873514,ENSG00000171988
16,ATM,0.22465953,ENSG00000149311
17,BAZ2A,0.07692159,ENSG00000076108
18,RGS18,0.0010390554,ENSG00000150681
19,CD46,0.14905779,ENSG00000117335
20,S100A4,0.002870469,ENSG00000196154
21,PIK3CD,0.28890085,ENSG00000171608
22,FCER1G,0.005673640400000001,ENSG00000158869
23,UBE2N,0.066215485,ENSG00000177889
24,CASP1,0.04065379,ENSG00000137752
25,LYST,0.014729501,ENSG00000143669
26,LCP1,0.046679884000000005,ENSG00000136167
27,RIN3,0.1212192,ENSG00000100599
28,TSC22D3,0.0073658759999999995,ENSG00000157514
29,PFN1,0.003930695,ENSG00000108518
30,LINC02432,0.0060378383,ENSG00000248810
31,PDS5A,0.33579615,ENSG00000121892
32,IQGAP1,0.24626036,ENSG00000140575
33,AKNA,0.24849351,ENSG00000106948
34,MCUB,0.22792648,ENSG00000005059
35,SORL1,0.29084998,ENSG00000137642
36,VMP1,0.22554953,ENSG00000062716
37,THOC2,0.22665477,ENSG00000125676
38,SAT1,0.003199042,ENSG00000130066
39,RPL7,0.008636743,ENSG00000147604
40,SEC61G,0.021676395,ENSG00000132432
41,REV3L,0.118873715,ENSG00000009413
42,SNX14,0.24365707,ENSG00000135317
43,DUSP22,0.023439803999999998,ENSG00000112679
44,TMEM167A,0.09730741,ENSG00000174695
45,VCAN,0.25327918,ENSG00000038427
46,FBXL5,0.12077829,ENSG00000118564
47,ARPC4,0.020262487,ENSG00000241553
48,RPL6,0.0009881821,ENSG00000089009
49,MAPK14,0.24700770000000002,ENSG00000112062
50,SOD2,0.0053962367,ENSG00000112096
51,LRRK2,0.049655862,ENSG00000188906
52,TM9SF3,0.12029727,ENSG00000077147
53,COTL1,0.0010921635000000001,ENSG00000103187
54,ARID1A,0.17491777,ENSG00000117713
55,LUC7L3,0.020979578,ENSG00000108848
56,CRBN,0.27753190000000005,ENSG00000113851
57,SRGAP2B,0.284499,ENSG00000196369
58,CTSS,0.045613355999999994,ENSG00000163131
59,FOCAD,0.45579982,ENSG00000188352
60,ANKRD28,0.7392289000000001,ENSG00000206560
61,TPT1,0.0027789172999999998,ENSG00000133112
62,SAMHD1,0.022164677999999997,ENSG00000101347
63,RPS24,0.007963323000000001,ENSG00000138326
64,NUP210,0.13913003,ENSG00000132182
65,S100A10,0.0038169618,ENSG00000197747
66,SMG7,0.57818854,ENSG00000116698
67,RBPJ,0.012974026000000001,ENSG00000168214
68,PLSCR1,0.0077083609999999995,ENSG00000188313
69,DNAJC3,0.41431260000000003,ENSG00000102580
70,PAK2,0.30284545,ENSG00000180370
71,PPP2R5C,0.5573035,ENSG00000078304
72,ATP2A3,0.016172104,ENSG00000074370
73,FTX,0.590264,ENSG00000230590
74,RPL28,0.00023644476000000001,ENSG00000108107
75,ZEB2,0.72062844,ENSG00000169554
76,RPL30,0.00085939065,ENSG00000156482
77,HSP90AB1,0.054404564,ENSG00000096384
78,ARL6IP6,0.16184242,ENSG00000177917
79,LIMS1,0.008037461,ENSG00000169756
80,PTGES3,0.060475636,ENSG00000110958
81,PTPRJ,1.5170778999999999,ENSG00000149177
82,SCAF11,0.17014591,ENSG00000139218
83,CLEC2D,0.28610113,ENSG00000069493
84,CDK17,0.3385674,ENSG00000059758
85,RPRD2,0.5502613000000001,ENSG00000163125
86,ELF1,0.44753173,ENSG00000120690
87,CALM1,0.010341343000000001,ENSG00000198668
88,TPP2,0.14216687,ENSG00000134900
89,RPS3,0.0023564735999999998,ENSG00000149273
90,IL32,0.0029570211,ENSG00000008517
91,DAZAP2,0.028867913,ENSG00000183283
92,GSE1,0.060338203,ENSG00000131149
93,PHF20L1,0.08550325,ENSG00000129292
94,RNF149,0.12715587,ENSG00000163162
95,CRLF3,0.4128995,ENSG00000176390
96,C11orf58,0.04761699,ENSG00000110696
97,FNBP1,0.3660241,ENSG00000187239
98,USP34,0.26408902,ENSG00000115464
99,TRIB1,0.008609947,ENSG00000173334
100,RPS23,0.0003089968,ENSG00000186468
101,SDAD1,0.108800896,ENSG00000198301
102,RAB7A,0.07148805,ENSG00000075785
103,YWHAH,0.00021023345,ENSG00000128245
104,HCK,0.049732257,ENSG00000101336
105,CYBB,0.07008127,ENSG00000165168
106,SLC2A3,0.03364489,ENSG00000059804
107,COG3,0.13689020000000002,ENSG00000136152
108,OAZ1,0.00032163959,ENSG00000104904
109,STX11,0.036551464,ENSG00000135604
110,NCKAP1L,0.03210608,ENSG00000123338
111,SRSF11,0.09207102,ENSG00000116754
112,PIK3CB,0.2629545,ENSG00000051382
113,CD74,0.0016990601,ENSG00000019582
114,LNPEP,0.40165654,ENSG00000113441
115,FAM107B,0.3317144,ENSG00000065809
116,CDC42,0.046594787,ENSG00000070831
117,TAGLN2,0.0019142685,ENSG00000158710
118,JAK3,0.16331501,ENSG00000105639
119,NEMF,0.17718185,ENSG00000165525
120,UHMK1,0.06266721,ENSG00000152332
121,DDX17,0.042546835,ENSG00000100201
122,HSP90AA1,0.039675057,ENSG00000080824
123,SPPL2A,0.23414515,ENSG00000138600
124,ZNF655,0.05854845,ENSG00000197343
125,RPL41,0.0016255828,ENSG00000229117
126,ANKRD12,0.40858390000000006,ENSG00000101745
127,RAB14,0.059996802,ENSG00000119396
128,LINC00861,0.0071260105,ENSG00000245164
129,LAMTOR4,0.02843959,ENSG00000188186
130,RPL34,0.0022876207,ENSG00000109475
131,HNRNPDL,0.04397915,ENSG00000152795
132,CCNI,0.051464535,ENSG00000118816
133,RPL14,0.004550747,ENSG00000188846
134,SLC6A6,0.009007331,ENSG00000131389
135,RPS13,0.00020943905,ENSG00000110700
136,RAP1B,0.05814831,ENSG00000127314
137,TRPM7,0.27065992,ENSG00000092439
138,ZBTB44,0.027053808999999998,ENSG00000196323
139,NCF1,0.0012882038,ENSG00000158517
140,GRSF1,0.03931613,ENSG00000132463
141,RAP1A,0.38171363,ENSG00000116473
142,RPL5,0.0019704533999999998,ENSG00000122406
143,ITGB1,0.036119357000000005,ENSG00000150093
144,TMED10,0.051887788,ENSG00000170348
145,HIP1,0.05119202,ENSG00000127946
146,TMBIM4,0.09965842,ENSG00000155957
147,PTMA,0.0029979946999999997,ENSG00000187514
148,IL10RB,0.12957796,ENSG00000243646
149,TNRC6B,0.5859978,ENSG00000100354
150,UBE2B,0.121819094,ENSG00000119048
151,CASP3,0.23422004,ENSG00000164305
152,MFSD8,0.026801541,ENSG00000164073
153,PHC3,0.335455,ENSG00000173889
154,STAT1,0.13902435,ENSG00000115415
155,AHI1,0.028779767,ENSG00000135541
156,BIRC3,0.09597902,ENSG00000023445
157,VPS8,0.19139493,ENSG00000156931
158,FTH1,0.00037751260000000003,ENSG00000167996
159,DBF4,0.018595636000000002,ENSG00000006634
160,MRPS6,0.03053777,ENSG00000243927
161,CAP1,0.07052737,ENSG00000131236
162,LBR,0.014475636000000002,ENSG00000143815
163,PDIA6,0.014057699,ENSG00000143870
164,PIAS1,0.60306895,ENSG00000033800
165,SKP1,0.031681575,ENSG00000113558
166,MYL12A,0.002720495,ENSG00000101608
167,RPL23A,0.0023909884,ENSG00000198242
168,MYL12B,0.035304066,ENSG00000118680
169,ALG5,0.07881600400000001,ENSG00000120697
170,ATRX,0.22167617,ENSG00000085224
171,ZCCHC7,1.9101471999999997,ENSG00000147905
172,EIF4H,0.03765104,ENSG00000106682
173,CREB5,0.078338645,ENSG00000146592
174,MPC1,0.07589515,ENSG00000060762
175,AP3S1,0.05792527,ENSG00000177879
176,UTY,0.59848523,ENSG00000183878
177,FAM126B,0.32039055,ENSG00000155744
178,IGKV4-1,9.594971e-05,ENSG00000211598
179,CHURC1,0.0926966,ENSG00000258289
180,OSTC,0.014646348,ENSG00000198856
181,CCND2,0.05153919,ENSG00000118971
182,ZNF131,0.16624592,ENSG00000172262
183,ATG7,1.294125,ENSG00000197548
184,VDAC2,0.07219213,ENSG00000165637
185,SEPTIN7,0.23380372,ENSG00000122545
186,SLC38A1,0.33086276,ENSG00000111371
187,PSMA4,0.03978058,ENSG00000041357
188,SRRM1,0.08625331,ENSG00000133226
189,FGFR1OP2,0.29497670000000004,ENSG00000111790
190,ATP13A1,0.01902488,ENSG00000105726
191,OXNAD1,0.54767704,ENSG00000154814
192,TENT5C,0.0027295777,ENSG00000183508
193,ARPC5,0.004342133,ENSG00000162704
194,PRRC2C,0.25796437,ENSG00000117523
195,RPL4,0.005764213000000001,ENSG00000174444
196,PDIA3,0.09575441,ENSG00000167004
197,REPS1,0.14099127,ENSG00000135597
198,UBE2J1,0.005437329,ENSG00000198833
199,CENPE,0.0008389716000000001,ENSG00000138778
200,CNOT6L,0.5390563,ENSG00000138767
201,NAA50,0.089967415,ENSG00000121579
202,DIP2A,0.15790847,ENSG00000160305
203,UBE2V1,0.06340129,ENSG00000244687
204,RBCK1,0.10137079,ENSG00000125826
205,SP3,0.46531140000000004,ENSG00000172845
206,RIF1,0.08526995,ENSG00000080345
207,DIAPH1,0.14335553,ENSG00000131504
208,UBAC2,0.30073848,ENSG00000134882
209,PJA2,0.22770557,ENSG00000198961
210,CD69,0.23759802,ENSG00000110848
211,ANP32A,0.051131535,ENSG00000140350
212,SRRM2,0.009227719,ENSG00000167978
213,RNF213,0.17272593,ENSG00000173821
214,LDHB,0.054220922000000005,ENSG00000111716
215,RSF1,0.17122547,ENSG00000048649
216,SRGN,0.008730242,ENSG00000122862
217,MLEC,0.011924209,ENSG00000110917
218,UFL1,0.045165934000000005,ENSG00000014123
219,TXNL1,0.08814844,ENSG00000091164
220,ANXA1,0.31395733,ENSG00000135046
221,TRAM1,0.032612544,ENSG00000067167
222,CSNK1G3,0.2787272,ENSG00000151292
223,BTF3,0.009120943000000001,ENSG00000145741
224,STK4,0.28571424,ENSG00000101109
225,SRSF7,0.07471776,ENSG00000115875
226,FCN1,0.026210217,ENSG00000085265
227,UBE3A,0.12653552,ENSG00000114062
228,RBM25,0.07274647,ENSG00000119707
229,OLA1,0.22245912,ENSG00000138430
230,PICALM,1.3282291000000002,ENSG00000073921
231,ATP2B1,0.7398338000000001,ENSG00000070961
232,EIF5,0.021058891,ENSG00000100664
233,NELL2,0.016905839,ENSG00000184613
234,POLR2B,0.08468427,ENSG00000047315
235,TCF7,0.009036528,ENSG00000081059
236,SREK1,0.115970574,ENSG00000153914
237,AK3,0.13774088,ENSG00000147853
238,ANKRD11,0.34872767,ENSG00000167522
