,gene_name,gamma,gene_id
0,RPL10,0.0025943178,ENSG00000147403
1,CLU,0.0028536247999999998,ENSG00000120885
2,AKR1B10,0.0010808522,ENSG00000198074
3,CLDN4,0.005846589,ENSG00000189143
4,SPINK1,0.005611461,ENSG00000164266
5,COMMD10,0.36069429999999997,ENSG00000145781
6,GC,0.02280945,ENSG00000145321
7,TFF2,0.0018410007,ENSG00000160181
8,CSE1L,0.059223197000000005,ENSG00000124207
9,SLPI,0.0011140857000000001,ENSG00000124107
10,VSTM2L,0.0009385419500000001,ENSG00000132821
11,REL,0.07316202,ENSG00000162924
12,YIPF4,0.025304733,ENSG00000119820
13,RPL28,0.0043330267,ENSG00000108107
14,TRIM44,0.14866342,ENSG00000166326
15,USP47,0.31781244,ENSG00000170242
16,PRICKLE1,0.16525626,ENSG00000139174
17,ERICH5,0.0037005756,ENSG00000177459
18,HMGN3,0.052717205,ENSG00000118418
19,HSD17B11,0.01082897,ENSG00000198189
20,PDLIM1,0.011991786,ENSG00000107438
21,AKIRIN1,0.07597061,ENSG00000174574
22,ANPEP,0.0044302759999999995,ENSG00000166825
23,S100A6,0.000525642,ENSG00000197956
24,TFF3,0.00018328031000000003,ENSG00000160180
25,COPB1,0.21059088,ENSG00000129083
26,LCN2,0.0018720723000000001,ENSG00000148346
27,MPC2,0.0014393788000000001,ENSG00000143158
28,KPNA6,0.07759316,ENSG00000025800
29,IVNS1ABP,0.12820664,ENSG00000116679
30,CD74,0.0012765052000000001,ENSG00000019582
31,FOS,1.1795685e-05,ENSG00000170345
32,MAPK1IP1L,0.116540655,ENSG00000168175
33,KLK11,0.015564796499999999,ENSG00000167757
34,TCN1,0.005735311999999999,ENSG00000134827
35,CDR2L,0.04363763,ENSG00000109089
36,EDF1,0.020785071000000002,ENSG00000107223
37,CUL1,1.4787711000000001,ENSG00000055130
38,MUC3A,0.0025776073,ENSG00000169894
39,MLXIPL,0.0010067825,ENSG00000009950
40,EEF1A1,0.0007705797,ENSG00000156508
41,WWTR1,0.02141278,ENSG00000018408
42,CRTAP,0.023074754,ENSG00000170275
43,ATXN10,0.2919756,ENSG00000130638
44,GGT1,0.026987973999999998,ENSG00000100031
45,AMBP,0.008108673,ENSG00000106927
46,SLC3A1,0.7043421,ENSG00000138079
47,CST3,0.0019698848,ENSG00000101439
