,gene_name,gamma,gene_id
0,LMBRD1,0.19942786,ENSG00000168216
1,PLSCR1,0.18850827,ENSG00000188313
2,HMOX1,0.014839264,ENSG00000100292
3,RALGAPB,0.13070579,ENSG00000170471
4,NOL10,0.46406245,ENSG00000115761
5,EGFL7,0.009308879,ENSG00000172889
6,ETS1,0.08984828,ENSG00000134954
7,CNN3,0.07520319,ENSG00000117519
8,WDR74,0.036944278,ENSG00000133316
9,PIK3R3,0.4569387,ENSG00000117461
10,NAV1,0.15886559,ENSG00000134369
11,KLHL15,0.14131804,ENSG00000174010
12,TM9SF3,0.1144854,ENSG00000077147
13,IFITM3,0.001570213,ENSG00000142089
14,HSP90AA1,0.018256968000000002,ENSG00000080824
15,PHF12,0.07026121,ENSG00000109118
16,CMIP,0.5983105,ENSG00000153815
17,RPS2,0.0004339278400000001,ENSG00000140988
18,SOCS3,0.0036209219,ENSG00000184557
19,JMJD6,0.048345927000000004,ENSG00000070495
20,EPAS1,0.31758076,ENSG00000116016
21,RIPOR1,0.11549822,ENSG00000039523
22,RPL10,0.0041095214,ENSG00000147403
23,PPP1R2,0.07409824400000001,ENSG00000184203
24,RRP1B,0.09203133,ENSG00000160208
25,RAMP3,0.0151667595,ENSG00000122679
26,SERPING1,0.00886472,ENSG00000149131
27,ZNF385D,0.47978519999999997,ENSG00000151789
28,CGGBP1,0.09737361,ENSG00000163320
29,TCF4,0.23283361,ENSG00000196628
30,FAM222B,0.34066564,ENSG00000173065
31,ZBTB21,0.06394729,ENSG00000173276
32,S100A2,0.009116185,ENSG00000196754
33,CSRP2,0.04795604,ENSG00000175183
34,UBE2D1,0.10550843,ENSG00000072401
35,PRKN,1.2368968,ENSG00000185345
36,FTH1,0.0049755065999999995,ENSG00000167996
37,PRPSAP2,0.115968645,ENSG00000141127
38,RPL8,0.00014613902,ENSG00000161016
39,FABP5,0.009058958,ENSG00000164687
40,NSD3,0.4575496,ENSG00000147548
41,HIPK2,0.8243356,ENSG00000064393
42,POLR3H,0.07083738,ENSG00000100413
43,KRT5,0.0023312413,ENSG00000186081
44,BIRC3,0.017982082,ENSG00000023445
45,ANKRD12,0.41921800000000004,ENSG00000101745
46,MAPKAPK2,0.21042019,ENSG00000162889
47,SLC35D1,0.22601935,ENSG00000116704
48,PALMD,0.005569851,ENSG00000099260
49,NR4A1,0.087235354,ENSG00000123358
50,DST,0.25801924,ENSG00000151914
51,S100A14,0.016505059,ENSG00000189334
52,DIP2B,0.4384955,ENSG00000066084
53,SLC7A8,0.0018269325,ENSG00000092068
54,UBN1,0.09822427,ENSG00000118900
55,TRAPPC6B,0.07581794,ENSG00000182400
56,BAZ2B,0.6943833,ENSG00000123636
57,KRT13,0.001512672,ENSG00000171401
58,ZFAND2A,0.06021793,ENSG00000178381
59,MRTFB,0.032914437000000005,ENSG00000186260
60,KRT15,0.0013638507999999998,ENSG00000171346
61,DNM1,0.005614381999999999,ENSG00000106976
62,DENND4C,0.3317693,ENSG00000137145
63,TAF2,0.16841152,ENSG00000064313
64,SYNE1,0.046172563,ENSG00000131018
65,GHR,0.05485416,ENSG00000112964
66,SLC49A4,0.24312131,ENSG00000138463
67,CCDC80,0.032816652,ENSG00000091986
68,RERG,0.045699734000000006,ENSG00000134533
69,LAMC1,0.5364627,ENSG00000135862
70,CRISPLD2,0.22946897,ENSG00000103196
71,ADAMTS4,0.012101937,ENSG00000158859
72,CXCL12,0.011243958,ENSG00000107562
73,CYB5B,0.11047845,ENSG00000103018
74,ABCA8,0.08634294599999999,ENSG00000141338
75,COL6A2,0.020590752,ENSG00000142173
76,DCN,0.01095038,ENSG00000011465
77,ZMYND11,0.21373323,ENSG00000015171
78,NR4A2,0.08623359,ENSG00000153234
79,STAT4,0.1237596,ENSG00000138378
