,gene_name,gamma,gene_id
0,NIBAN2,0.15357007,ENSG00000136830
1,DAB2IP,0.6537238000000001,ENSG00000136848
2,DOCK4,2.0951405,ENSG00000128512
3,EEPD1,0.90091264,ENSG00000122547
4,AQP1,0.0022047860000000002,ENSG00000240583
5,QKI,1.1225021000000002,ENSG00000112531
6,HES1,0.019028846000000002,ENSG00000114315
7,MAPK1,0.34873098,ENSG00000100030
8,SULF2,0.24588367,ENSG00000196562
9,MGLL,0.08531622,ENSG00000074416
10,LSG1,0.10340296,ENSG00000041802
11,PIK3C2B,0.30085585,ENSG00000133056
12,DOCK6,0.11041484,ENSG00000130158
13,DUSP5,0.038559515,ENSG00000138166
14,TGM2,0.05535855,ENSG00000198959
15,NEDD4L,0.3405922,ENSG00000049759
16,GSN,0.007189055,ENSG00000148180
17,EGR1,0.0012034562,ENSG00000120738
18,EFNB2,0.08232869999999999,ENSG00000125266
19,HNRNPU,0.011654626999999999,ENSG00000153187
20,TMTC1,1.3271812,ENSG00000133687
21,RAMP2,0.003280223,ENSG00000131477
22,FDPS,0.044775028,ENSG00000160752
23,RALB,0.20806079999999996,ENSG00000144118
24,ZFP36,0.003284643,ENSG00000128016
25,BAHCC1,0.2580912,ENSG00000266074
26,SEMA4C,0.019679623,ENSG00000168758
27,GIMAP7,0.01717988,ENSG00000179144
28,BICRAL,0.5404653,ENSG00000112624
29,BTNL9,0.08755945,ENSG00000165810
30,TAF1,0.22708836,ENSG00000147133
31,KDR,0.07159389,ENSG00000128052
32,GNAQ,1.1968776,ENSG00000156052
33,USP42,0.13278414,ENSG00000106346
34,MIDN,0.037651185,ENSG00000167470
35,SSH1,0.8036873000000001,ENSG00000084112
36,KBTBD2,0.30014834,ENSG00000170852
37,MTERF1,0.28145456,ENSG00000127989
38,LPCAT2,0.7906761999999999,ENSG00000087253
39,MX1,0.1148682,ENSG00000157601
40,CHD1,0.42293869999999995,ENSG00000153922
41,PHF20L1,0.15285462,ENSG00000129292
42,FADS3,0.10966822,ENSG00000221968
43,RNF213,0.15988062,ENSG00000173821
44,APOLD1,1.1721961,ENSG00000178878
45,SMARCA5,0.15270399,ENSG00000153147
46,NOVA2,0.20510244,ENSG00000104967
47,GLS,0.7000351,ENSG00000115419
48,KLF2,0.0038304045,ENSG00000127528
49,NAMPT,0.3818437,ENSG00000105835
50,SUN1,0.056741997999999995,ENSG00000164828
51,CD74,0.0038321484,ENSG00000019582
52,HLA-DRB5,0.018580288,ENSG00000198502
53,IFNAR2,0.33726928,ENSG00000159110
54,GNAI2,0.05640702,ENSG00000114353
55,EVA1C,0.907057,ENSG00000166979
56,KITLG,0.84694743,ENSG00000049130
57,KIF1B,0.43372816,ENSG00000054523
58,PECAM1,0.095385104,ENSG00000261371
59,PRKX,0.46757844,ENSG00000183943
60,IFITM2,0.003774146,ENSG00000185201
61,CNOT6L,0.8297636999999999,ENSG00000138767
62,ILF3,0.056774724000000006,ENSG00000129351
63,TPT1-AS1,0.2540571,ENSG00000170919
64,POMP,0.044695597000000004,ENSG00000132963
65,PTMA,0.006946221999999999,ENSG00000187514
66,RIN3,0.48228216,ENSG00000100599
67,PBRM1,0.19419412,ENSG00000163939
68,FTH1,0.0036716490000000004,ENSG00000167996
69,CREBBP,0.28780055,ENSG00000005339
70,FABP5,0.009384686,ENSG00000164687
71,ZNF207,0.07988803,ENSG00000010244
72,ZNF83,0.37346676,ENSG00000167766
73,CADPS2,1.3905108999999998,ENSG00000081803
74,GNG11,0.0012540189,ENSG00000127920
75,FKBP9,0.14583786,ENSG00000122642
76,RPL39,0.0001705042,ENSG00000198918
77,PCNX1,0.45720428,ENSG00000100731
78,DOCK9,0.87531155,ENSG00000088387
79,CD2AP,0.3792183,ENSG00000198087
80,ESAM,0.021234872000000002,ENSG00000149564
81,IGFBP2,0.020365335,ENSG00000115457
82,KLF6,0.026629416,ENSG00000067082
83,TIMMDC1,0.089494,ENSG00000113845
84,ADAMTS1,0.016540347,ENSG00000154734
85,BLZF1,0.12734848,ENSG00000117475
86,CA4,0.014088814,ENSG00000167434
87,VWF,0.13851757,ENSG00000110799
88,SLC9A3R2,0.008611364,ENSG00000065054
89,RAMP3,0.025869261,ENSG00000122679
90,MT1E,0.011599583,ENSG00000169715
91,RBM41,0.08549063,ENSG00000089682
92,FTL,1.7848171e-05,ENSG00000087086
93,INMT,0.0633517,ENSG00000241644
94,LAMA4,0.28452745,ENSG00000112769
95,TM4SF1,0.015142586000000001,ENSG00000169908
96,TRAK1,1.0832921,ENSG00000182606
97,CLASP1,0.6350735,ENSG00000074054
98,INTS6,0.3302168,ENSG00000102786
99,SGK1,0.047274888,ENSG00000118515
100,FLT1,0.3237073,ENSG00000102755
101,CXCL12,0.030020203,ENSG00000107562
102,FLNB,0.28944838,ENSG00000136068
103,IL18R1,0.10797079,ENSG00000115604
104,TOR1AIP2,0.0853495,ENSG00000169905
105,DISP1,0.4461307,ENSG00000154309
106,ZC3H4,0.26344222,ENSG00000130749
107,RESF1,0.15865365,ENSG00000174718
108,CLMN,0.058056425,ENSG00000165959
109,MTMR2,0.26374865,ENSG00000087053
110,MBTD1,0.17217839999999998,ENSG00000011258
111,CAVIN2,0.019204416999999998,ENSG00000168497
112,PALMD,0.069440275,ENSG00000099260
113,TNRC6B,0.41761282,ENSG00000100354
114,IQCK,0.36811364,ENSG00000174628
115,STRADA,0.1481046,ENSG00000266173
116,NARF,0.12817314,ENSG00000141562
117,TMSB4X,0.00033021954,ENSG00000205542
118,CA2,0.24449891,ENSG00000104267
119,BHLHE40,0.07150117,ENSG00000134107
120,RAB6A,0.27617368,ENSG00000175582
121,IFI6,0.012729051000000002,ENSG00000126709
122,EPB41L2,0.39665866,ENSG00000079819
123,CCNL2,0.017705224,ENSG00000221978
124,TMOD3,0.18859160000000003,ENSG00000138594
125,EIF5B,0.08343039,ENSG00000158417
126,RASGRP3,0.33800185,ENSG00000152689
127,RPS8,0.00012653563,ENSG00000142937
128,NSRP1,0.20666717,ENSG00000126653
129,CXCL2,0.007648405,ENSG00000081041
130,PTPRM,0.61824703,ENSG00000173482
131,DNAJA1,0.32639270000000004,ENSG00000086061
132,UTRN,1.0408286,ENSG00000152818
133,TRIM38,0.06304617,ENSG00000112343
134,SHANK3,0.12793969,ENSG00000251322
135,APOL3,0.1572188,ENSG00000128284
136,PHACTR2,0.30557140000000005,ENSG00000112419
137,MFSD6,0.2316808,ENSG00000151690
138,STK38,0.28209397,ENSG00000112079
139,CEP85L,0.45177954,ENSG00000111860
140,DCN,0.01048627,ENSG00000011465
141,CSRP2,0.0636101,ENSG00000175183
142,HDAC7,0.12256155,ENSG00000061273
143,CFLAR,0.15319492,ENSG00000003402
144,ZBTB7A,0.044924705999999995,ENSG00000178951
145,ATN1,0.14671777,ENSG00000111676
146,N4BP1,0.29507740000000005,ENSG00000102921
147,CYP4B1,0.119877264,ENSG00000142973
148,PHF21A,0.74440765,ENSG00000135365
149,NUAK1,0.08438179,ENSG00000074590
150,PARP14,0.16413365,ENSG00000173193
151,CACNA1A,0.22099613,ENSG00000141837
152,PMAIP1,0.21949218,ENSG00000141682
153,RAB11A,0.070480116,ENSG00000103769
154,GSE1,0.43468577,ENSG00000131149
155,GJC1,0.09072139,ENSG00000182963
156,SNHG5,0.16475682,ENSG00000203875
157,SMURF2,0.5353142,ENSG00000108854
158,PIAS2,0.23676397,ENSG00000078043
