,gene_name,gamma,gene_id
0,MPP1,0.026010232,ENSG00000130830
1,EIF2S3,0.054717827999999996,ENSG00000130741
2,TFEC,0.2968952,ENSG00000105967
3,SOD2,0.09179779,ENSG00000112096
4,MARCKS,0.014013537,ENSG00000277443
5,RBPJ,0.02415161,ENSG00000168214
6,SH3BP2,0.0972177,ENSG00000087266
7,TMEM167A,0.044560984000000005,ENSG00000174695
8,ATP13A3,0.14582725,ENSG00000133657
9,TOB2,0.103934176,ENSG00000183864
10,CYTH4,0.10364496,ENSG00000100055
11,VCAN,0.10928289999999999,ENSG00000038427
12,SUPT5H,0.2520382,ENSG00000196235
13,DOCK8,0.66404295,ENSG00000107099
14,ACBD3,0.076498464,ENSG00000182827
15,RUNX1,0.50790256,ENSG00000159216
16,PLXNC1,0.22075679999999998,ENSG00000136040
17,ZFP36L1,0.06298696,ENSG00000185650
18,NAMPT,0.20564854,ENSG00000105835
19,BASP1,0.116016276,ENSG00000176788
20,CTSS,0.02074199,ENSG00000163131
21,EEF1A1,0.0017281964000000001,ENSG00000156508
22,HELZ,0.4964398,ENSG00000198265
23,FTH1,0.003618922,ENSG00000167996
24,CTSD,0.0032959070000000003,ENSG00000117984
25,VIM,0.0085922945,ENSG00000026025
26,CD55,0.09601046,ENSG00000196352
27,SLC16A3,0.026297237999999997,ENSG00000141526
28,LARP4,0.18308425,ENSG00000161813
29,SRGN,0.03778193,ENSG00000122862
30,CXCL8,0.006634347,ENSG00000169429
31,ITGB1,0.23170874,ENSG00000150093
32,PTMA,0.004539351,ENSG00000187514
33,PSMC6,0.031146694,ENSG00000100519
34,TPT1,0.004584539,ENSG00000133112
35,COPA,0.35224079999999997,ENSG00000122218
36,APLP2,0.10504978,ENSG00000084234
37,VEZF1,0.052001547,ENSG00000136451
38,VAPA,0.19413753,ENSG00000101558
39,RAB31,0.08680737,ENSG00000168461
40,STXBP2,0.01660334,ENSG00000076944
41,CYP1B1,0.017879395,ENSG00000138061
42,IFI30,0.004343509000000001,ENSG00000216490
43,CXCR4,0.0014042460999999999,ENSG00000121966
44,UBA2,0.17488459,ENSG00000126261
45,PTPN12,0.13693273,ENSG00000127947
46,GTF2I,0.26729906,ENSG00000263001
47,CREB3L2,0.18969679999999997,ENSG00000182158
48,HRH2,0.1329256,ENSG00000113749
49,DSE,0.11765199999999999,ENSG00000111817
50,ACSL1,0.13139182,ENSG00000151726
51,GASK1B,0.05560312,ENSG00000164125
52,ORMDL1,0.2578524,ENSG00000128699
53,GCA,0.057545575999999994,ENSG00000115271
54,DEGS1,0.051527727,ENSG00000143753
55,CARS2,0.38194692,ENSG00000134905
56,MED13L,1.5240101000000001,ENSG00000123066
57,PTPN1,0.6598341,ENSG00000196396
58,ACTN1,0.009798626999999999,ENSG00000072110
59,TCIRG1,0.02181261,ENSG00000110719
60,LINC00623,1.311679,ENSG00000226067
61,DPYD,0.112697065,ENSG00000188641
62,EHBP1L1,0.03520778,ENSG00000173442
63,ZBTB16,0.017584499,ENSG00000109906
