,gene_name,gamma,gene_id
0,ACTB,0.004476867,ENSG00000075624
1,TMSB4X,0.0020620264,ENSG00000205542
2,RPS14,0.00054406765,ENSG00000164587
3,RPS3A,0.0013284604,ENSG00000145425
4,CLINT1,0.16566415,ENSG00000113282
5,DDX18,0.6238892,ENSG00000088205
6,AFF3,1.4512931,ENSG00000144218
7,RPS19,0.004321106,ENSG00000105372
8,NBDY,0.4252619000000001,ENSG00000204272
9,NBPF12,0.22586651,ENSG00000268043
10,TAGLN2,0.023207752,ENSG00000158710
11,RPS27,0.00011998993999999999,ENSG00000177954
12,RPL36,0.00031497682,ENSG00000130255
13,RPS13,0.00041815812999999993,ENSG00000110700
14,C1orf43,0.08847109,ENSG00000143612
15,RSRC2,0.15602978,ENSG00000111011
16,HIF1A,0.07957499,ENSG00000100644
17,FTH1,0.006387275,ENSG00000167996
18,RPS3,0.0034445590000000002,ENSG00000149273
19,HP1BP3,0.13273631,ENSG00000127483
20,MPHOSPH8,0.14400521,ENSG00000196199
21,MFSD14A,0.16642997,ENSG00000156875
22,HMGXB3,0.14474024,ENSG00000113716
23,ARFGAP3,0.19323161,ENSG00000242247
24,PSMD1,0.20499195,ENSG00000173692
25,IFNG-AS1,1.816971,ENSG00000255733
26,PPP1R12B,0.70751095,ENSG00000077157
27,TSC22D3,0.010035185,ENSG00000157514
28,NUMA1,0.20603289,ENSG00000137497
29,RCSD1,0.07510326,ENSG00000198771
30,RTN4,0.33697245,ENSG00000115310
31,SFSWAP,0.22016926,ENSG00000061936
32,ASH1L,0.48772565,ENSG00000116539
33,BTG2,0.01647019,ENSG00000159388
34,SMCHD1,0.4011128,ENSG00000101596
35,BANK1,0.35529888,ENSG00000153064
36,EML4,0.7421833999999999,ENSG00000143924
37,MED13,0.608649,ENSG00000108510
38,MED6,0.13588727,ENSG00000133997
39,RHBDF2,0.16180512,ENSG00000129667
40,RIPOR2,0.46026525,ENSG00000111913
41,EMP3,0.09002464,ENSG00000142227
42,TSPAN7,0.027756642999999998,ENSG00000156298
43,CNTRL,0.33422396,ENSG00000119397
44,LEPROTL1,0.24289884,ENSG00000104660
45,ZFY,0.082442984,ENSG00000067646
46,MAP3K5,0.91404015,ENSG00000197442
47,RNF168,0.23518743,ENSG00000163961
48,LSG1,0.16677852,ENSG00000041802
49,WIPF2,0.37836888,ENSG00000171475
50,EVL,0.16801102,ENSG00000196405
51,CHD3,0.07504725,ENSG00000170004
52,TXNL4A,0.11786274599999999,ENSG00000141759
53,PRPF38B,0.028545282999999998,ENSG00000134186
54,SAFB2,0.14707503,ENSG00000130254
55,RHOH,0.47590894,ENSG00000168421
56,NASP,0.3118871,ENSG00000132780
57,CREM,0.31029698,ENSG00000095794
58,ATF7IP,0.58293605,ENSG00000171681
59,CDC42SE2,0.49907872,ENSG00000158985
60,TNRC6B,0.6846153,ENSG00000100354
61,KDM4B,0.5030723,ENSG00000127663
62,VAV1,0.43491212,ENSG00000141968
63,OXSR1,0.4590053,ENSG00000172939
64,IL10RA,0.022039656,ENSG00000110324
65,ABI2,0.09548208,ENSG00000138443
66,DENND4C,0.34078822,ENSG00000137145
67,FABP5,0.009610443,ENSG00000164687
68,EGFL7,0.012517481,ENSG00000172889
69,CD74,0.0046999836,ENSG00000019582
70,SPARCL1,0.0076666856000000005,ENSG00000152583
71,RPL4,0.009761786,ENSG00000174444
72,ZFP36L2,0.0025016257999999998,ENSG00000152518
73,CD99,0.07204752,ENSG00000002586
74,ZFP36L1,0.053885017,ENSG00000185650
75,SAT1,0.008122833000000001,ENSG00000130066
76,ADGRL4,0.14616281,ENSG00000162618
77,ADAR,0.09129872,ENSG00000160710
78,IFITM3,0.0020393517000000002,ENSG00000142089
79,SLFN5,0.011735743,ENSG00000166750
80,NFE2L2,0.6056615,ENSG00000116044
81,ERG,0.24138397,ENSG00000157554
82,IGFBP7,0.07527765,ENSG00000163453
83,DDX6,0.15222877,ENSG00000110367
84,ZFP36,0.004410965,ENSG00000128016
85,GDI2,0.27523047,ENSG00000057608
86,DDX42,0.11114634,ENSG00000198231
87,SRGN,0.038212314,ENSG00000122862
88,RMDN1,0.23722176,ENSG00000176623
89,RPL34,0.0013679583,ENSG00000109475
90,FIP1L1,0.18967734,ENSG00000145216
91,AHNAK,0.049647592000000004,ENSG00000124942
92,ACO2,0.3197503,ENSG00000100412
93,HSP90AA1,0.03537026,ENSG00000080824
94,UGCG,0.09565021,ENSG00000148154
95,C9orf85,0.26079854,ENSG00000155621
96,STK4,0.27581504,ENSG00000101109
97,CNKSR2,0.35346356,ENSG00000149970
98,TERF1,0.10460033,ENSG00000147601
99,TNFAIP3,0.052685052,ENSG00000118503
100,UGT8,0.0924907,ENSG00000174607
101,TMEM156,0.69112533,ENSG00000121895
102,CNOT4,0.44789070000000003,ENSG00000080802
103,HSPH1,0.13326803,ENSG00000120694
104,RBM4B,0.18454611,ENSG00000173914
105,CACUL1,0.27766609999999997,ENSG00000151893
106,CRLF3,0.47520825,ENSG00000176390
107,SRRM1,0.10745525,ENSG00000133226
108,SYNE2,0.066317506,ENSG00000054654
109,DDX5,0.0028581952,ENSG00000108654
110,SUCO,0.32348102,ENSG00000094975
111,WHAMM,0.15949465,ENSG00000156232
112,CCNT2,0.33037993,ENSG00000082258
113,EIF3CL,0.042739913,ENSG00000205609
114,KIAA0040,0.16184719,ENSG00000235750
115,CUL3,0.84539676,ENSG00000036257
116,CAPRIN1,0.1741547,ENSG00000135387
117,SMAD2,0.39892259999999996,ENSG00000175387
118,PRDM2,0.80698955,ENSG00000116731
119,PDE7A,1.7105903999999998,ENSG00000205268
120,PCM1,0.38370425,ENSG00000078674
121,POR,0.37366158,ENSG00000127948
122,MTREX,0.27475809999999995,ENSG00000039123
123,INPP4B,0.38797334,ENSG00000109452
124,ADNP,0.39577284,ENSG00000101126
125,ARHGEF1,0.16159819,ENSG00000076928
126,SFPQ,0.08627226,ENSG00000116560
127,KMT2A,0.100274995,ENSG00000118058
128,UBR5,0.7249729,ENSG00000104517
129,PCF11,0.24063222,ENSG00000165494
130,PER1,0.14224517,ENSG00000179094
131,PCED1B,1.3246722,ENSG00000179715
132,TTC3,0.3510502,ENSG00000182670
133,GNB1,0.67040986,ENSG00000078369
134,UBC,0.0007530483,ENSG00000150991
135,CELF2,0.74327725,ENSG00000048740
136,NEMF,0.38143852,ENSG00000165525
137,RABGAP1L,1.2225175,ENSG00000152061
138,ARID5A,0.12591921,ENSG00000196843
139,CRK,0.21531853,ENSG00000167193
140,TRIP11,0.15505865,ENSG00000100815
141,BCL11B,0.3573308,ENSG00000127152
142,IQCN,0.15185988,ENSG00000130518
143,PHF3,0.11203721,ENSG00000118482
144,NDEL1,0.19744894,ENSG00000166579
145,TSPYL2,0.06136797,ENSG00000184205
146,INTS6L,0.66383046,ENSG00000165359
147,SEMA4D,0.21986696,ENSG00000187764
148,TLE4,0.33519074,ENSG00000106829
149,CARD11,1.4446290000000002,ENSG00000198286
150,BCL6,0.24789296,ENSG00000113916
151,FAM133B,0.091769435,ENSG00000234545
152,ATM,0.09033064,ENSG00000149311
153,ARID5B,1.2628931,ENSG00000150347
154,KCNAB2,0.1891535,ENSG00000069424
155,CD247,0.07438207,ENSG00000198821
156,ALAS1,0.14558302,ENSG00000023330
157,ITPKB,0.5765045999999999,ENSG00000143772
158,ANK3,3.4864693,ENSG00000151150
159,CDS2,0.19118257,ENSG00000101290
160,CNDP2,0.12189637,ENSG00000133313
161,EZR,0.16780138,ENSG00000092820
162,HSP90AB1,0.040371805,ENSG00000096384
163,LBH,0.11558116,ENSG00000213626
164,PHF11,0.25958115,ENSG00000136147
165,CPNE1,0.26944986,ENSG00000214078
166,U2AF1L5,0.07966542,ENSG00000275895
167,SRRT,0.08229031,ENSG00000087087
168,KDM5A,0.17720494,ENSG00000073614
169,IGLV10-54,0.0018262734,ENSG00000211642
170,ELOVL5,0.8096328,ENSG00000012660
171,LINC00861,0.019552454,ENSG00000245164
172,SUPT3H,0.6459138000000001,ENSG00000196284
173,IRF2,0.28348717,ENSG00000168310
174,CREBRF,0.24677463,ENSG00000164463
175,SON,0.016999666,ENSG00000159140
176,HSPA8,0.006855924,ENSG00000109971
177,RESF1,0.051815737,ENSG00000174718
178,PDE3B,0.667514,ENSG00000152270
179,FOXJ3,0.37545259999999997,ENSG00000198815
180,NEK9,0.11697872,ENSG00000119638
181,IL21R,0.31468174,ENSG00000103522
182,TMA16,0.21133277,ENSG00000198498
183,AGFG1,0.36548796,ENSG00000173744
184,DDX60L,0.16062954,ENSG00000181381
185,ZNF638,0.63762635,ENSG00000075292
186,AAK1,0.08688584,ENSG00000115977
187,NOSIP,0.12894621,ENSG00000142546
188,IER2,0.021249523,ENSG00000160888
189,GANAB,0.123314224,ENSG00000089597
190,TMEM63A,0.07521304,ENSG00000196187
191,HSPA5,0.0011047869999999999,ENSG00000044574
192,HEXA,0.07387610000000001,ENSG00000213614
193,RBBP5,0.21932423,ENSG00000117222
194,DDX3X,0.049974617,ENSG00000215301
195,ASXL1,0.3350397,ENSG00000171456
196,DGKA,0.027364334,ENSG00000065357
197,BATF,0.022600368,ENSG00000156127
198,SEL1L,0.0439907,ENSG00000071537
199,SRRM2,0.07671134,ENSG00000167978
200,PCYOX1,0.10111839,ENSG00000116005
201,MAF,0.05109346,ENSG00000178573
202,TMC8,0.04106442,ENSG00000167895
203,DOCK4,0.024925686000000002,ENSG00000128512
204,ARID1B,1.0299466,ENSG00000049618
205,HLA-DRB5,0.015523647,ENSG00000198502
206,DYNC1I2,0.18616962,ENSG00000077380
207,MGAT4A,0.03817574,ENSG00000071073
208,NFIB,0.08448558,ENSG00000147862
209,CCSER2,0.45877072,ENSG00000107771
210,BAZ2A,0.2457882,ENSG00000076108
211,NRP1,0.030524954,ENSG00000099250
212,YPEL5,0.11682997,ENSG00000119801
213,MBD4,0.05048544,ENSG00000129071
214,SPTLC1,0.19521081,ENSG00000090054
215,KPNA4,0.32973418,ENSG00000186432
216,RNF167,0.06665926400000001,ENSG00000108523
217,MYDGF,0.042369734000000006,ENSG00000074842
218,CA5B,0.39312673,ENSG00000169239
219,SNX2,0.12399853,ENSG00000205302
220,TFEB,0.42654973,ENSG00000112561
221,TOB2,0.14149293,ENSG00000183864
222,ADARB1,0.36443058,ENSG00000197381
223,GAPDH,0.0036010232,ENSG00000111640
224,UBR4,0.15604489,ENSG00000127481
225,PNISR,0.097775005,ENSG00000132424
226,BTG1,0.0031234275,ENSG00000133639
227,ZC3H12A,0.04906518,ENSG00000163874
228,JMJD1C,0.35751247,ENSG00000171988
229,HELZ,0.31483528,ENSG00000198265
230,CKAP2,0.2094833,ENSG00000136108
231,TCERG1,0.18456839,ENSG00000113649
232,TXNDC16,0.37924653,ENSG00000087301
233,CALR,0.009197391999999999,ENSG00000179218
234,KDM6B,0.17988768,ENSG00000132510
235,PDE6D,0.5652196,ENSG00000156973
236,REST,0.14943574,ENSG00000084093
237,POLG2,0.62063456,ENSG00000256525
238,ZNFX1,0.18306084,ENSG00000124201
239,PPP1R15A,0.0008570961,ENSG00000087074
240,TFEC,0.17849012,ENSG00000105967
241,LMTK2,0.24701165,ENSG00000164715
242,PAICS,0.09584718,ENSG00000128050
243,UBP1,0.2259429,ENSG00000153560
244,CXCR4,0.0027150384,ENSG00000121966
245,KLHL24,0.46853727,ENSG00000114796
246,USP24,0.47405085,ENSG00000162402
247,GPR89B,0.38703465,ENSG00000188092
248,POM121,0.22286789,ENSG00000196313
249,BSG,0.1236144,ENSG00000172270
250,SMG7,0.38011897,ENSG00000116698
251,RASGRP3,0.29329446,ENSG00000152689
252,PTBP3,0.283039,ENSG00000119314
253,NSD3,0.4530888,ENSG00000147548
254,NAMPT,0.3992005,ENSG00000105835
255,SESN1,0.7591107,ENSG00000080546
256,EMB,0.11854933,ENSG00000170571
257,YME1L1,0.6689520999999999,ENSG00000136758
258,IL32,0.010290869499999999,ENSG00000008517
259,CD2,0.015121873000000001,ENSG00000116824
260,ADD1,0.26925007,ENSG00000087274
261,EXOC5,0.20934536,ENSG00000070367
262,DHX9,0.31053767,ENSG00000135829
263,ITM2A,0.005095685,ENSG00000078596
264,UBR1,0.5204065,ENSG00000159459
265,PHF12,0.2007693,ENSG00000109118
266,KLF2,0.014893406999999999,ENSG00000127528
267,MAP3K2,0.21970974,ENSG00000169967
268,UBE2L3,0.16369808,ENSG00000185651
269,HNRNPA2B1,0.022689003,ENSG00000122566
270,SEC31A,0.3285398,ENSG00000138674
271,A2M,0.048918795,ENSG00000175899
272,TCF4,0.20456270000000001,ENSG00000196628
273,SLC3A2,0.0112150125,ENSG00000168003
274,EGLN1,0.3333784,ENSG00000135766
275,CIR1,0.18482257,ENSG00000138433
276,KLF6,0.059736307999999995,ENSG00000067082
277,NAAA,0.12685296,ENSG00000138744
278,ELK3,0.23637235,ENSG00000111145
279,GIMAP5,0.019966975,ENSG00000196329
280,RDX,0.014173168,ENSG00000137710
281,SERINC5,0.40694466,ENSG00000164300
282,G3BP2,0.18600276,ENSG00000138757
283,LSR,0.1388191,ENSG00000105699
284,ETS1,0.06660929,ENSG00000134954
285,CD3E,0.0045031677,ENSG00000198851
286,TAF4B,1.0574923999999999,ENSG00000141384
287,PDCD6IP,0.11662782,ENSG00000170248
288,RICTOR,0.6132164000000001,ENSG00000164327
289,STAT3,0.10401499,ENSG00000168610
290,ZNF292,0.17945051,ENSG00000188994
291,ITM2B,0.01775317,ENSG00000136156
292,TCF7,0.050108332,ENSG00000081059
293,TRPM7,0.36557236,ENSG00000092439
294,MAP3K7,0.19912346,ENSG00000135341
295,OTUD4,0.18029869,ENSG00000164164
296,SLAIN2,0.55497515,ENSG00000109171
297,NFKBIZ,0.13193421,ENSG00000144802
298,FOXP1,0.58686846,ENSG00000114861
299,MOB4,0.16005492,ENSG00000115540
300,HSPD1,0.13714834,ENSG00000144381
301,CWC22,0.12582688,ENSG00000163510
302,LCP1,0.09419851,ENSG00000136167
303,LINC01619,15.936332,ENSG00000257242
304,SCAPER,0.73601466,ENSG00000140386
305,NFATC2,0.25660077,ENSG00000101096
306,PCNX1,0.81256616,ENSG00000100731
307,RPRD2,0.85571986,ENSG00000163125
308,LBR,0.03229373,ENSG00000143815
309,MAGT1,0.28599253,ENSG00000102158
310,GSPT1,0.22758171,ENSG00000103342
311,UTY,0.44527817,ENSG00000183878
