,gene_name,gamma,gene_id
0,RPL30,0.00030579107,ENSG00000156482
1,APOOL,0.08821532,ENSG00000155008
2,ACTB,0.0011732850999999999,ENSG00000075624
3,EMB,0.06367525,ENSG00000170571
4,RBM6,0.22325170000000003,ENSG00000004534
5,CRBN,0.19248192,ENSG00000113851
6,CLK1,0.10192627,ENSG00000013441
7,UBE2E3,0.20666996,ENSG00000170035
8,FBXO9,0.31740752,ENSG00000112146
9,KLRC2,0.30968606,ENSG00000205809
10,PRDM1,0.02332513,ENSG00000057657
11,CLASP2,0.6126366,ENSG00000163539
12,NEDD1,0.10495713,ENSG00000139350
13,BAG4,0.013883763,ENSG00000156735
14,APMAP,0.004753537,ENSG00000101474
15,PSMA4,0.017844183,ENSG00000041357
16,YIPF4,0.12543045,ENSG00000119820
17,MYL12A,0.009810709,ENSG00000101608
18,ACTR2,0.10694725,ENSG00000138071
19,TBCA,0.10920169,ENSG00000171530
20,RPL39,0.00041245008000000003,ENSG00000198918
21,SRPK2,1.1793253000000001,ENSG00000135250
22,GPBP1,0.181278,ENSG00000062194
23,EMC7,0.053559043,ENSG00000134153
24,CD53,0.28695408,ENSG00000143119
25,TRG-AS1,0.021122137000000003,ENSG00000281103
26,AEBP2,0.20183948,ENSG00000139154
27,PIK3CD,0.3132798,ENSG00000171608
28,DBF4,0.11051836,ENSG00000006634
29,SRSF4,0.31682405,ENSG00000116350
30,WDR41,0.24143995,ENSG00000164253
31,DCAF8,0.35676712,ENSG00000132716
32,SARNP,0.18234569,ENSG00000205323
33,RPS13,0.0010284315,ENSG00000110700
34,ZNF800,0.24757627,ENSG00000048405
35,RPL10,0.0027299190000000004,ENSG00000147403
36,FAM210A,0.03424048,ENSG00000177150
37,ZNF91,0.18098338,ENSG00000167232
38,CST7,0.005748994,ENSG00000077984
39,PPP6R1,0.08781246,ENSG00000105063
40,SMG1,0.13256705,ENSG00000157106
41,PTPN18,0.037188616,ENSG00000072135
42,DIAPH2,0.7861348000000001,ENSG00000147202
43,CERT1,0.40111718,ENSG00000113163
44,LSM6,0.029012552,ENSG00000164167
45,PLEKHA2,0.22514307,ENSG00000169499
46,TSC22D2,0.17441165,ENSG00000196428
47,ITK,0.07486442,ENSG00000113263
48,UBA5,0.043891605,ENSG00000081307
49,PHC3,0.4598905,ENSG00000173889
50,C12orf75,0.106701985,ENSG00000235162
51,EXOC1,0.30044509999999996,ENSG00000090989
52,GNG5,0.02773297,ENSG00000174021
53,NOTCH2,0.0986874,ENSG00000134250
54,DCUN1D5,0.13306746,ENSG00000137692
55,TTBK2,0.07964841,ENSG00000128881
56,CAPZA1,0.19260532,ENSG00000116489
57,RPS8,0.00015556383999999998,ENSG00000142937
58,ATP5F1E,0.0015124513,ENSG00000124172
59,SRSF10,0.06499237,ENSG00000188529
60,COG3,0.40328348,ENSG00000136152
61,RAP1A,0.32504973,ENSG00000116473
62,FEZ2,0.053880088,ENSG00000171055
63,CCPG1,0.017809797,ENSG00000260916
64,ORMDL1,0.44876486,ENSG00000128699
65,PIGB,0.10071773,ENSG00000069943
66,FOXP1,0.7497074,ENSG00000114861
67,FAM120AOS,0.025311066,ENSG00000188938
68,B4GALT1,0.29184148,ENSG00000086062
69,LRBA,1.6243856,ENSG00000198589
70,MAPK1,0.19092534,ENSG00000100030
71,MS4A6A,0.043853767,ENSG00000110077
72,CDC73,0.31443459999999995,ENSG00000134371
73,ELF1,0.7926734000000001,ENSG00000120690
74,ZMYND11,0.25447689999999995,ENSG00000015171
75,GPCPD1,0.4874135,ENSG00000125772
76,GNA13,0.12320032,ENSG00000120063
77,OGT,0.082206935,ENSG00000147162
78,RAB27A,0.032392774,ENSG00000069974
79,PTP4A2,0.069201894,ENSG00000184007
80,MAP3K2,0.012289023999999999,ENSG00000169967
81,CAND1,0.17803185,ENSG00000111530
82,HIPK2,0.030159547999999998,ENSG00000064393
83,MAML2,1.063476,ENSG00000184384
84,LCP1,0.07346436,ENSG00000136167
85,YY1,0.11885285,ENSG00000100811
86,GNLY,0.009867014,ENSG00000115523
87,CKLF,0.096699305,ENSG00000217555
88,PHTF2,0.6617195,ENSG00000006576
89,VPS13C,0.1725225,ENSG00000129003
90,UBA1,0.06968861,ENSG00000130985
91,RBM26,0.44062832,ENSG00000139746
92,CARS2,0.14952081,ENSG00000134905
93,FTH1,0.0015024889,ENSG00000167996
94,NBPF12,0.4886109,ENSG00000268043
95,DDHD1,0.29983845,ENSG00000100523
96,NBPF11,0.34433845,ENSG00000263956
97,CWF19L1,0.21432813,ENSG00000095485
98,TAF3,0.31826252,ENSG00000165632
99,TRIP11,0.14430994,ENSG00000100815
100,RPL4,0.0094996365,ENSG00000174444
101,RAP1GDS1,0.53739506,ENSG00000138698
102,PPP3R1,0.5290853,ENSG00000221823
103,PMS1,0.17919128,ENSG00000064933
104,TMSB4X,2.6644179999999997e-05,ENSG00000205542
105,DPYSL2,0.019339763,ENSG00000092964
106,SERPINB1,0.0019682776000000003,ENSG00000021355
107,WDR1,0.04237407,ENSG00000071127
108,NAMPT,0.29308861,ENSG00000105835
109,BASP1,0.03021263,ENSG00000176788
110,DNAJC5,0.13894764,ENSG00000101152
111,CXCR4,0.011821453999999999,ENSG00000121966
112,ARNT,0.12042872,ENSG00000143437
113,CLEC7A,0.0036625515,ENSG00000172243
114,VIM,0.0025122731,ENSG00000026025
115,DIDO1,0.16631970000000001,ENSG00000101191
116,LYZ,0.050306525,ENSG00000090382
117,MCL1,0.08933958,ENSG00000143384
118,NBPF14,0.5916294,ENSG00000270629
119,FAM107B,0.15125403,ENSG00000065809
120,UCHL5,0.13916285,ENSG00000116750
121,S100A4,0.0042983843,ENSG00000196154
