,gene_name,gamma,gene_id
0,NOTCH1,0.07427335,ENSG00000148400
1,ACTB,0.001932788,ENSG00000075624
2,SASH1,0.55293834,ENSG00000111961
3,C6orf62,0.13865219,ENSG00000112308
4,CD74,0.0042493166,ENSG00000019582
5,ABLIM3,0.016443998,ENSG00000173210
6,MEF2C,0.11440888,ENSG00000081189
7,ARL15,3.5384479,ENSG00000185305
8,SULF2,0.13026078,ENSG00000196562
9,ZSCAN18,0.10378493,ENSG00000121413
10,CD82,0.022388457999999997,ENSG00000085117
11,CD59,0.05905708,ENSG00000085063
12,A2M,0.041957397,ENSG00000175899
13,SLC38A6,0.09126295,ENSG00000139974
14,CLIC4,0.38727486,ENSG00000169504
15,F8,0.08741913,ENSG00000185010
16,PRAG1,0.39945447,ENSG00000275342
17,FABP5,0.004964613400000001,ENSG00000164687
18,POMP,0.09313095,ENSG00000132963
19,TMEM245,0.19545473,ENSG00000106771
20,USP24,0.34179085,ENSG00000162402
21,ITGA6,0.067265555,ENSG00000091409
22,AP2B1,0.16555785,ENSG00000006125
23,PHIP,0.32369798,ENSG00000146247
24,KLF2,0.0031425246999999996,ENSG00000127528
25,PIKFYVE,0.14442074,ENSG00000115020
26,AFF4,0.31841978,ENSG00000072364
27,ZFP36,0.002683432,ENSG00000128016
28,KLF4,0.024739979,ENSG00000136826
29,CALD1,0.009452838,ENSG00000122786
30,SEC62,0.033608942999999995,ENSG00000008952
31,PIK3CA,0.3247875,ENSG00000121879
32,ATP5F1E,0.0021825463,ENSG00000124172
33,CST3,0.0007554544,ENSG00000101439
34,RNF103,0.05275551,ENSG00000239305
35,APOLD1,0.1915564,ENSG00000178878
36,GLS,0.54428303,ENSG00000115419
37,CPSF7,0.11019280599999999,ENSG00000149532
38,NUCKS1,0.062360812,ENSG00000069275
39,HSPG2,0.27098045,ENSG00000142798
40,IGFBP6,0.0011213919,ENSG00000167779
41,PTP4A2,0.11249421,ENSG00000184007
42,ZNF609,0.38326788,ENSG00000180357
43,RBPJ,0.24358687,ENSG00000168214
44,NDRG2,0.022874952999999996,ENSG00000165795
45,KIAA0232,0.32662928,ENSG00000170871
46,PARD3,3.611799,ENSG00000148498
47,SOS2,0.42663264,ENSG00000100485
48,RPS6KB1,0.19476491,ENSG00000108443
49,CSDE1,0.06827318,ENSG00000009307
50,C3,0.052624088,ENSG00000125730
51,ADAMTS5,0.0059127253,ENSG00000154736
52,HIPK2,0.6267514,ENSG00000064393
53,DDX3Y,0.09310676,ENSG00000067048
54,FRAS1,0.30046594,ENSG00000138759
55,NEDD9,0.05841757400000001,ENSG00000111859
56,NR1D2,0.1010591,ENSG00000174738
57,EWSR1,0.08565175,ENSG00000182944
58,ANP32B,0.06817983,ENSG00000136938
59,ADAMTS9,0.7311249,ENSG00000163638
60,SNAP23,0.08581119999999999,ENSG00000092531
61,CARD8,0.11295118,ENSG00000105483
62,INPP4A,0.42095070000000007,ENSG00000040933
63,EGFL7,0.028590197,ENSG00000172889
64,IFI44,0.320519,ENSG00000137965
65,OGA,0.19787465,ENSG00000198408
66,PDZD8,0.22810479,ENSG00000165650
67,RAB11A,0.059403475,ENSG00000103769
68,NFIB,0.8036073,ENSG00000147862
69,TSPAN14,0.18693107,ENSG00000108219
70,SAR1A,0.07406918,ENSG00000079332
71,UACA,0.038160346,ENSG00000137831
72,CHSY1,0.26096329999999995,ENSG00000131873
73,DPYSL2,0.1548045,ENSG00000092964
74,IL32,0.010225205,ENSG00000008517
75,TRAPPC8,0.21921793,ENSG00000153339
76,INTS6,0.27029285,ENSG00000102786
77,IFITM3,0.0019264127,ENSG00000142089
78,MOB1A,0.055240933,ENSG00000114978
79,HLA-DRB5,0.017009282,ENSG00000198502
80,NCALD,1.3570764,ENSG00000104490
81,SPTAN1,0.20278531,ENSG00000197694
82,SPARC,0.007510263499999999,ENSG00000113140
83,MIA2,0.15037782,ENSG00000150527
84,ANXA3,0.20540659,ENSG00000138772
85,PLS3,0.18651488,ENSG00000102024
86,CAMK1D,0.42706546,ENSG00000183049
87,C1orf21,0.5977948000000001,ENSG00000116667
88,RBM17,0.07416059,ENSG00000134453
89,AKR1C3,0.07907605,ENSG00000196139
90,SEC14L1,0.17766605,ENSG00000129657
91,CD36,0.058040604,ENSG00000135218
92,FTL,0.00012354178999999998,ENSG00000087086
93,IGFBP5,0.002924729,ENSG00000115461
94,STOM,0.081018195,ENSG00000148175
95,ADGRF5,0.17013225,ENSG00000069122
96,APOD,0.001433107,ENSG00000189058
97,DIPK2B,0.1296913,ENSG00000147113
98,IL13RA1,0.13622904,ENSG00000131724
99,FKBP1A,0.032330167,ENSG00000088832
100,HADHA,0.11012260000000001,ENSG00000084754
101,PLAUR,0.14406960000000002,ENSG00000011422
102,TSG101,0.10356300000000002,ENSG00000074319
103,NRP1,0.1549584,ENSG00000099250
104,PLAC9,0.02236098,ENSG00000189129
105,TBL1XR1,0.42310342,ENSG00000177565
106,GCC2,0.12199737,ENSG00000135968
107,STK10,0.33302954,ENSG00000072786
108,EIF4G1,0.058265205,ENSG00000114867
109,NSL1,0.08436652,ENSG00000117697
110,MAN1A2,0.16502424,ENSG00000198162
111,VWF,0.11001755,ENSG00000110799
112,GLG1,0.15827197,ENSG00000090863
113,STARD9,0.2742139,ENSG00000159433
114,SP100,0.28272459999999994,ENSG00000067066
115,DDX3X,0.025463441,ENSG00000215301
116,SET,0.019397933,ENSG00000119335
117,MTUS1,0.25263447,ENSG00000129422
118,NAMPT,0.45577037,ENSG00000105835
119,FKBP9,0.09797269,ENSG00000122642
120,CTNNA1,0.53902054,ENSG00000044115
121,SCAMP1,0.20371561,ENSG00000085365
122,CXCL2,0.0044150017,ENSG00000081041
123,TGFBR2,0.12377239999999999,ENSG00000163513
124,CA2,0.14310488,ENSG00000104267
125,CYP4B1,0.09922704,ENSG00000142973
126,ATF3,0.05460157,ENSG00000162772
127,KIT,0.027744504,ENSG00000157404
128,CXCL12,0.043872207,ENSG00000107562
129,KIF1B,0.34607556,ENSG00000054523
130,SOD2,0.15119147,ENSG00000112096
131,SLCO4A1,0.27222064,ENSG00000101187
132,SYNE2,0.2470967,ENSG00000054654
133,HUWE1,0.47254363,ENSG00000086758
134,COTL1,0.031759772,ENSG00000103187
135,THSD4,0.30195853,ENSG00000187720
136,RGPD5,0.19797857,ENSG00000015568
137,RGPD6,0.19901584,ENSG00000183054
138,ENG,0.08142812599999999,ENSG00000106991
139,FBXL4,0.24094911,ENSG00000112234
140,CPE,0.09900781,ENSG00000109472
141,HES1,0.01714653,ENSG00000114315
142,BHLHE40,0.058764517,ENSG00000134107
143,SLC9A3R2,0.011110416000000001,ENSG00000065054
144,FNIP2,0.46241942,ENSG00000052795
145,RASIP1,0.21529661,ENSG00000105538
146,IGFBP4,0.042931475,ENSG00000141753
147,HDAC7,0.06129159,ENSG00000061273
148,PDLIM1,0.05332208,ENSG00000107438
149,SUN1,0.059637137,ENSG00000164828
150,FLI1,0.7840104,ENSG00000151702
151,SRGN,0.08754963,ENSG00000122862
152,ATF7IP,0.45614037,ENSG00000171681
153,SPTBN1,0.16112939,ENSG00000115306
154,OGT,0.061303493,ENSG00000147162
155,RAMP2,0.0065813619999999995,ENSG00000131477
156,KANK3,0.16657022,ENSG00000186994
157,IER2,0.026408654,ENSG00000160888
158,GOLIM4,0.1488029,ENSG00000173905
159,WRNIP1,0.06238516400000001,ENSG00000124535
160,TM4SF1,0.008510957,ENSG00000169908
161,IFNGR1,0.037058584,ENSG00000027697
162,GATA2,0.05571751,ENSG00000179348
163,MYCT1,0.09783166,ENSG00000120279
164,MGLL,0.07215880000000001,ENSG00000074416
165,FZD6,0.079550624,ENSG00000164930
166,CKLF,0.05273358,ENSG00000217555
167,CD69,0.053993136,ENSG00000110848
168,IFITM2,0.010337551,ENSG00000185201
169,ABLIM1,0.27685606,ENSG00000099204
170,MAPK1,0.24611019,ENSG00000100030
171,DCN,0.020680476,ENSG00000011465
172,PECAM1,0.044655744000000004,ENSG00000261371
173,PODXL,0.047777146,ENSG00000128567
174,IGFBP2,0.019217193,ENSG00000115457
175,SMC5,0.34546998,ENSG00000198887
176,TJP2,0.28112137,ENSG00000119139
177,PUM2,0.47107840000000006,ENSG00000055917
178,ESAM,0.016940154,ENSG00000149564
179,PPP3R1,0.82750785,ENSG00000221823
180,CD46,0.10952533,ENSG00000117335
181,ATP2B4,0.17182724,ENSG00000058668
182,TRIP10,0.049287032,ENSG00000125733
183,ARHGAP5,0.28606477,ENSG00000100852
184,S100A10,0.006284409,ENSG00000197747
185,TIE1,0.012274872,ENSG00000066056
