,gene_name,gamma,gene_id
0,CTSL,0.01699748,ENSG00000135047
1,NDRG1,0.19676769,ENSG00000104419
2,CTSB,0.023585076,ENSG00000164733
3,PNPLA8,0.40183228,ENSG00000135241
4,COA1,0.20008755,ENSG00000106603
5,ACTB,0.0021858335999999996,ENSG00000075624
6,CDKN1A,0.023792197999999997,ENSG00000124762
7,SPARCL1,0.0061407164,ENSG00000152583
8,VPS8,0.18797339999999998,ENSG00000156931
9,PPM1K,0.10221058,ENSG00000163644
10,ADAMTS1,0.010513713999999999,ENSG00000154734
11,IGFBP7,0.02700989,ENSG00000163453
12,STAT6,0.12455704,ENSG00000166888
13,MXRA7,0.1153701,ENSG00000182534
14,VPS50,0.17086199999999999,ENSG00000004766
15,ASAP2,0.34970158,ENSG00000151693
16,C1QB,0.00052015093,ENSG00000173369
17,WDR44,0.31101456,ENSG00000131725
18,FAM76B,0.09919867,ENSG00000077458
19,FABP5,0.002590163,ENSG00000164687
20,NCOR2,0.38330176,ENSG00000196498
21,SWAP70,0.0341041,ENSG00000133789
22,PHF2,0.073930904,ENSG00000197724
23,SMAD7,0.09210299,ENSG00000101665
24,RPS27A,5.9716003e-06,ENSG00000143947
25,INTS6,0.16228157,ENSG00000102786
26,PRSS3,0.025569519,ENSG00000010438
27,DNAJC13,0.16374272,ENSG00000138246
28,USF3,0.17414677,ENSG00000176542
29,SULF2,0.007194810500000001,ENSG00000196562
30,WFDC2,0.0045883176,ENSG00000101443
31,PCNA,0.07544953,ENSG00000132646
32,NOSIP,0.09331462,ENSG00000142546
33,PHGR1,0.0009007374,ENSG00000233041
34,CD320,0.01399208,ENSG00000167775
35,DACH1,0.7662884,ENSG00000276644
36,SMIM20,0.07408945,ENSG00000250317
37,S100A6,0.00035239384,ENSG00000197956
38,ATAD2B,0.39235312,ENSG00000119778
39,RPS27,0.00026178177,ENSG00000177954
40,S100A10,0.010273364,ENSG00000197747
41,HSPA8,0.0035761276,ENSG00000109971
42,NUFIP2,0.279647,ENSG00000108256
43,MT1E,0.0009299759,ENSG00000169715
44,PRAC1,0.009986891999999999,ENSG00000159182
45,USP14,0.2009865,ENSG00000101557
46,NUDT2,0.086604856,ENSG00000164978
47,RPL30,0.0004789972,ENSG00000156482
48,TNFRSF21,0.4146965,ENSG00000146072
49,SLC25A46,0.106090344,ENSG00000164209
50,CD69,0.031575217999999995,ENSG00000110848
51,GCLC,0.15843503,ENSG00000001084
52,FTH1,0.0024397813,ENSG00000167996
53,PPARA,0.14297266,ENSG00000186951
54,SRGN,0.049475245,ENSG00000122862
55,RNPC3,0.07653927,ENSG00000185946
56,NSD1,0.14320439,ENSG00000165671
57,GLUL,0.001960926,ENSG00000135821
58,HSPH1,0.12329314,ENSG00000120694
59,ZNF267,0.0029322209999999996,ENSG00000185947
60,CLCN3,0.32576832,ENSG00000109572
61,TLK2,0.62402844,ENSG00000146872
62,CPNE3,0.03075663,ENSG00000085719
63,ZKSCAN1,0.077283084,ENSG00000106261
64,CCDC112,0.08548826,ENSG00000164221
65,MTG1,0.05022532,ENSG00000148824
66,CEP350,0.30660102,ENSG00000135837
67,INF2,0.0386495,ENSG00000203485
68,NAV2,0.6450575,ENSG00000166833
69,LUC7L,0.14564343,ENSG00000007392
70,MIS18BP1,0.13662817,ENSG00000129534
71,KIAA1191,0.06267793,ENSG00000122203
72,CAMK4,0.20771341,ENSG00000152495
73,SPIB,0.0038657684000000005,ENSG00000269404
74,STAP2,0.0026213136,ENSG00000178078
75,GOLPH3,0.20958836,ENSG00000113384
76,IL4R,0.39565682,ENSG00000077238
77,GUCA2B,0.0057963366,ENSG00000044012
78,KRT19,0.01563326,ENSG00000171345
79,TSPAN15,0.0028779742,ENSG00000099282
80,ARCN1,0.11255410000000002,ENSG00000095139
81,NEURL1,0.06669528,ENSG00000107954
82,KCNK1,0.008790866500000001,ENSG00000135750
83,FTL,5.910147200000001e-05,ENSG00000087086
84,ABCC3,0.026612774,ENSG00000108846
85,OTOP2,0.0103547275,ENSG00000183034
86,ZFAND2A,0.09746908,ENSG00000178381
87,EFHC1,0.062034022,ENSG00000096093
88,FAM102A,0.10629113,ENSG00000167106
89,ZFYVE16,0.060667288,ENSG00000039319
90,HEG1,0.1095453,ENSG00000173706
91,ABHD5,0.14140178,ENSG00000011198
92,THUMPD3-AS1,0.08990494,ENSG00000206573
93,PPP2R5C,0.072335705,ENSG00000078304
94,RUNX3,0.110995024,ENSG00000020633
95,RANGAP1,0.073451586,ENSG00000100401
96,SLC38A1,0.06920144,ENSG00000111371
97,MPZL3,0.04379544,ENSG00000160588
98,PER1,0.11615752,ENSG00000179094
99,N4BP1,0.19741286,ENSG00000102921
100,PPP4R3A,0.21083473,ENSG00000100796
101,MAPKAPK2,0.24850422,ENSG00000162889
102,ARHGAP45,0.117570646,ENSG00000180448
103,ANKRD36C,0.27482587,ENSG00000174501
104,RFTN2,0.23584026,ENSG00000162944
105,RALGAPB,0.17940499,ENSG00000170471
106,DUSP4,0.052884400000000005,ENSG00000120875
107,TSPYL2,0.013748586,ENSG00000184205
108,PPP1R16A,0.025842453999999997,ENSG00000160972
109,CHD7,0.29596633,ENSG00000171316
110,DST,0.11118669,ENSG00000151914
111,PTPA,0.059602365,ENSG00000119383
112,MAP1B,0.012909522,ENSG00000131711
113,SREK1,0.08217417,ENSG00000153914
114,EGR1,0.0007552369,ENSG00000120738
115,MEG3,0.02072344,ENSG00000214548
116,CCNT1,0.08269873,ENSG00000129315
117,SFRP1,0.0008179536,ENSG00000104332
118,CRYAB,8.427236e-05,ENSG00000109846
119,SP1,0.08400029,ENSG00000185591
120,BIRC3,0.025599945,ENSG00000023445
121,MACF1,0.29003632,ENSG00000127603
122,SLC30A7,0.21861461,ENSG00000162695
123,ANK2,0.7482386999999999,ENSG00000145362
124,NABP1,0.07063888,ENSG00000173559
125,IL1RAPL1,0.17266887,ENSG00000169306
126,SPARC,0.0016481603,ENSG00000113140
127,TAOK1,0.17940646,ENSG00000160551
128,CREB5,0.36206552,ENSG00000146592
129,ANGPTL4,0.015870693999999998,ENSG00000167772
130,ATL2,0.44516190000000005,ENSG00000119787
131,MUC12,0.012398973999999998,ENSG00000205277
132,TRRAP,0.25228497,ENSG00000196367
133,ARAP2,0.026994162999999998,ENSG00000047365
134,FOXP1,0.96254635,ENSG00000114861
135,CKMT1B,0.002172895,ENSG00000237289
136,RORA,0.614019,ENSG00000069667
137,TPM1,0.01976255,ENSG00000140416
138,CA1,0.0009121225,ENSG00000133742
139,KMT2C,0.51542383,ENSG00000055609
140,AKAP9,0.14159513,ENSG00000127914
141,CXCL2,0.0062172823,ENSG00000081041
142,KRT8,0.006533575,ENSG00000170421
143,KMT2A,0.10649101400000001,ENSG00000118058
144,CDK11A,0.10495745,ENSG00000008128
145,ABCA8,0.031180695,ENSG00000141338
146,MYH14,0.06659674,ENSG00000105357
147,AGR2,0.02125415,ENSG00000106541
148,DDX60L,0.2695913,ENSG00000181381
149,SMIM31,0.014967264,ENSG00000248771
150,MSL2,0.33041364,ENSG00000174579
151,TSPAN8,0.022145646,ENSG00000127324
152,LINC00511,0.064970024,ENSG00000227036
153,NUP93,0.16782875,ENSG00000102900
154,FXYD3,0.010940791000000002,ENSG00000089356
155,SPINK4,0.0052226977,ENSG00000122711
156,NDUFAF4,0.05008411,ENSG00000123545
157,SCAF4,0.20742083,ENSG00000156304
158,FARP2,0.46450055,ENSG00000006607
159,PHYKPL,0.13772798,ENSG00000175309
160,CCNYL1,0.32974064,ENSG00000163249
161,UBR2,0.52881336,ENSG00000024048
162,PIGR,0.0039119655,ENSG00000162896
163,SF3A1,0.041659653,ENSG00000099995
164,KRT18,0.0022851971,ENSG00000111057
165,TFF3,0.00022221792000000001,ENSG00000160180
166,ADAR,0.06285854,ENSG00000160710
167,MUC1,0.0018948873000000001,ENSG00000185499
168,OGT,0.2500633,ENSG00000147162
169,ZG16,0.0002977691,ENSG00000174992
170,CXCL8,0.006655935,ENSG00000169429
171,ING5,0.87406933,ENSG00000168395
172,EREG,0.09156016,ENSG00000124882
173,PCF11,0.18476814,ENSG00000165494
174,EGFL7,0.035580635,ENSG00000172889
175,BIRC6,0.594298,ENSG00000115760
176,COPB1,0.31630677,ENSG00000129083
177,DYNC1H1,0.040349707,ENSG00000197102
178,AMMECR1,0.20293747,ENSG00000101935
179,FBLN1,0.029708328,ENSG00000077942
180,DYRK1A,0.7596957,ENSG00000157540
181,NELFA,0.15708762,ENSG00000185049
182,CDK6,0.61215067,ENSG00000105810
183,PWWP2A,0.13211470000000003,ENSG00000170234
184,FARP1,0.01886836,ENSG00000152767
185,CRYBG3,0.12771592,ENSG00000080200
186,NFASC,0.00370713,ENSG00000163531
187,GTF2I,0.100941435,ENSG00000263001
188,SRRM2,0.02235727,ENSG00000167978
189,COL6A3,0.024642037000000002,ENSG00000163359
190,SUPT3H,0.9676437,ENSG00000196284
191,DNMBP,0.27185549999999997,ENSG00000107554
192,MMP2,0.010104885,ENSG00000087245
193,CLUH,0.1378124,ENSG00000132361
194,CYP4F12,0.061951727000000005,ENSG00000186204
195,EPG5,0.17589651,ENSG00000152223
196,CCDC138,0.33008745,ENSG00000163006
197,RPGR,0.11224934,ENSG00000156313
198,MAP4,0.39222813,ENSG00000047849
199,IFITM3,2.4987086e-05,ENSG00000142089
200,WASHC1,0.039546832000000004,ENSG00000181404
201,PMP22,0.01311707,ENSG00000109099
202,NFATC1,1.0843267,ENSG00000131196
203,CAV1,0.009015113,ENSG00000105974
204,ASL,0.012500713,ENSG00000126522
205,ZMYND8,0.21361682,ENSG00000101040
206,KITLG,0.023878291,ENSG00000049130
207,IL1B,0.031367942999999995,ENSG00000125538
208,PDE4DIP,1.050265,ENSG00000178104
209,SCD,6.3117e-05,ENSG00000099194
210,HGSNAT,0.28939235,ENSG00000165102
211,AKAP11,0.13547128,ENSG00000023516
212,AKAP13,0.81788373,ENSG00000170776
213,RGPD8,0.36732218,ENSG00000169629
214,DIPK2A,0.45546909999999996,ENSG00000181744
215,PRPF4B,0.082422525,ENSG00000112739
216,FOXK2,0.90744865,ENSG00000141568
217,SAT1,0.005323993000000001,ENSG00000130066
218,MID1,0.3462235,ENSG00000101871
219,PLAC8,0.12550451,ENSG00000145287
220,LGALS1,0.0011887275999999999,ENSG00000100097
221,GDF15,0.0061541040000000005,ENSG00000130513
222,ADH1B,0.005250986700000001,ENSG00000196616
223,PFKL,0.14461412,ENSG00000141959
224,SF3B1,0.060534004,ENSG00000115524
225,BACE2,0.0025435467,ENSG00000182240
226,MUC5B,0.0034452971999999996,ENSG00000117983
227,PLCD3,0.08957699,ENSG00000161714
228,CD8A,0.024303645,ENSG00000153563
