,gene_name,gamma,gene_id
0,RPL10,0.0027759105,ENSG00000147403
1,RPL8,0.00040718712,ENSG00000161016
2,RNF19A,0.49335548,ENSG00000034677
3,MTPN,0.1005817,ENSG00000105887
4,DST,0.08554118,ENSG00000151914
5,TFPI,0.007147445,ENSG00000003436
6,FTL,0.00016110887,ENSG00000087086
7,UBE4B,0.17325526,ENSG00000130939
8,RPS13,0.0011092644,ENSG00000110700
9,RPAP3,0.06710145599999999,ENSG00000005175
10,RPS8,4.5103025e-06,ENSG00000142937
11,XPO4,0.09288514,ENSG00000132953
12,KRT10,3.9467344e-05,ENSG00000186395
13,DSG1,0.009620061999999999,ENSG00000134760
14,KRT14,0.0008999257000000001,ENSG00000186847
15,KCTD20,0.04301459999999999,ENSG00000112078
16,RPS19,0.002057885,ENSG00000105372
17,BRD3,0.01754477,ENSG00000169925
18,ESRP1,0.22907750000000002,ENSG00000104413
19,ATXN1,0.9657713,ENSG00000124788
20,DSP,0.022946145,ENSG00000096696
21,SELENOP,0.0065417695,ENSG00000250722
22,BMP2K,0.22104834,ENSG00000138756
23,PDCD6IP,0.06176829,ENSG00000170248
24,RRBP1,0.11656668,ENSG00000125844
25,NEDD4,0.17114276,ENSG00000069869
26,PTPN11,0.07741191,ENSG00000179295
27,KRT2,0.00484656,ENSG00000172867
28,TSNAX,0.044195298,ENSG00000116918
29,RPLP0,0.0009841962,ENSG00000089157
30,ELL2,0.64142853,ENSG00000118985
31,RAB30,0.088929035,ENSG00000137502
32,KRT1,0.0012068483,ENSG00000167768
33,ANKRD17,0.93331605,ENSG00000132466
34,UBR3,0.28987312,ENSG00000144357
35,RPL18A,0.00010439937599999999,ENSG00000105640
36,RPL26,0.0005543222000000001,ENSG00000161970
37,DMKN,0.0048893737,ENSG00000161249
38,PRPF4B,0.03278772,ENSG00000112739
39,TUBB2B,0.0021690822,ENSG00000137285
40,CD74,0.0021854814,ENSG00000019582
41,IGF2BP2,0.4475548,ENSG00000073792
42,GNL3,0.037222873,ENSG00000163938
43,FAM83C,0.03902343,ENSG00000125998
44,HNRNPM,0.19041526,ENSG00000099783
45,PEX3,0.06924069,ENSG00000034693
46,HSPH1,0.12600169,ENSG00000120694
47,GATA3,0.0056719959999999995,ENSG00000107485
48,TSG101,0.06623408,ENSG00000074319
49,PLAC9,0.01629134,ENSG00000189129
50,C15orf48,0.0051354747,ENSG00000166920
51,ACTB,0.0043177414,ENSG00000075624
52,FBXO9,0.03981381,ENSG00000112146
53,FBXW7,0.05949226,ENSG00000109670
54,PCM1,0.21336538,ENSG00000078674
55,MYO10,0.23593579,ENSG00000145555
56,CRTC3,0.34649867,ENSG00000140577
57,GAN,0.52017415,ENSG00000261609
58,KLK11,0.018461171999999998,ENSG00000167757
59,S100A10,0.005841113,ENSG00000197747
60,NINJ1,0.015302756,ENSG00000131669
61,ATF7,0.09186811,ENSG00000170653
62,MIER1,0.19271029999999997,ENSG00000198160
63,CARD8,0.0007991887,ENSG00000105483
64,NGRN,0.018592415,ENSG00000182768
65,FAM53C,0.039026838,ENSG00000120709
66,BIRC2,0.075853415,ENSG00000110330
67,CAMKMT,0.31148592,ENSG00000143919
68,RAB14,0.05786097,ENSG00000119396
69,AOPEP,1.1243108999999998,ENSG00000148120
70,RPS3A,0.00056922203,ENSG00000145425
71,AREG,0.049884345,ENSG00000109321
72,CGGBP1,0.1342323,ENSG00000163320
73,KRT5,0.00026577029999999996,ENSG00000186081
74,DCN,0.008650093000000001,ENSG00000011465
75,PHF20,0.20830037,ENSG00000025293
76,GLS,0.38252709999999995,ENSG00000115419
77,SBSN,0.0030445682,ENSG00000189001
78,ACADM,0.04120336,ENSG00000117054
79,ERC1,1.0248001,ENSG00000082805
80,TMTC1,0.043568246,ENSG00000133687
81,UBE2J1,0.0431654,ENSG00000198833
82,AQP1,0.0010516883,ENSG00000240583
83,TENT2,0.1282672,ENSG00000164329
84,GOLGA7,0.06154451,ENSG00000147533
85,EMCN,0.118858345,ENSG00000164035
86,CERK,0.07724722,ENSG00000100422
