,gene_name,gamma,gene_id
0,EGR1,0.0041988757,ENSG00000120738
1,POLK,0.07694089,ENSG00000122008
2,AREG,0.02301302,ENSG00000109321
3,DHX15,0.04983485,ENSG00000109606
4,SETD2,0.11788534,ENSG00000181555
5,UGDH,0.08403519,ENSG00000109814
6,IMPA2,0.012884973000000001,ENSG00000141401
7,PANK3,0.097000316,ENSG00000120137
8,KRT8,0.006379414,ENSG00000170421
9,C3orf85,0.044819787,ENSG00000241224
10,APOA4,0.00043597343,ENSG00000110244
11,KRT18,0.00025447705000000004,ENSG00000111057
12,SMAD2,0.10246282,ENSG00000175387
13,FTL,9.842384e-05,ENSG00000087086
14,LYST,0.07430935,ENSG00000143669
15,AVIL,0.011422778500000001,ENSG00000135407
16,CARMIL1,0.73125327,ENSG00000079691
17,SEC24D,0.17728296,ENSG00000150961
18,EIF2AK2,0.039123923,ENSG00000055332
19,APOC3,0.002461244,ENSG00000110245
20,AP5M1,0.02929062,ENSG00000053770
21,RPS8,0.00018752266,ENSG00000142937
22,PHGR1,0.002135448,ENSG00000233041
23,POLR2H,0.020432796,ENSG00000163882
24,EEF1A1,5.2700496000000004e-05,ENSG00000156508
25,JUP,0.11858612,ENSG00000173801
26,TMX3,0.025348632000000003,ENSG00000166479
27,ATAD2B,0.20724764,ENSG00000119778
28,CYP3A5,0.09277617,ENSG00000106258
29,CD164,0.018287133,ENSG00000135535
30,RREB1,0.13272615,ENSG00000124782
31,PARL,0.03350585,ENSG00000175193
32,MUC13,0.33946362,ENSG00000173702
33,TFF3,0.00013823969,ENSG00000160180
34,MALL,0.11760573,ENSG00000144063
35,UBE2E3,0.20039876,ENSG00000170035
36,NET1,0.12864505,ENSG00000173848
37,FTH1,0.0009018171699999999,ENSG00000167996
38,PPP1R14D,0.026711752999999998,ENSG00000166143
39,LUZP1,0.20646511,ENSG00000169641
40,ATP5MC1,0.01444875,ENSG00000159199
41,AFDN,0.34101543,ENSG00000130396
42,USP9X,0.19434516,ENSG00000124486
43,TMC5,0.16731639,ENSG00000103534
44,HERC4,0.37091088,ENSG00000148634
45,CLDN4,0.013391967,ENSG00000189143
46,STK3,0.46164367,ENSG00000104375
47,AP1G1,0.0790394,ENSG00000166747
48,TSPAN13,0.12269086400000001,ENSG00000106537
49,ACTB,0.0028156352,ENSG00000075624
50,PGRMC2,0.013148693999999999,ENSG00000164040
51,METAP1,0.04874446,ENSG00000164024
52,CD74,0.0030123940000000003,ENSG00000019582
53,PCGF3,0.03848265,ENSG00000185619
54,GBP1,0.073539525,ENSG00000117228
55,GBP3,0.016229228999999998,ENSG00000117226
56,ATP2A3,0.021674829,ENSG00000074370
57,AZGP1,0.0032531752,ENSG00000160862
58,TSC22D3,0.0020497767,ENSG00000157514
