,gene_name,gamma,gene_id
0,RPL39,0.00024556371,ENSG00000198918
1,RPS3A,0.0013223799,ENSG00000145425
2,REST,0.08906262,ENSG00000084093
3,SUMF1,0.45532860000000003,ENSG00000144455
4,ZC3H13,0.1650095,ENSG00000123200
5,TAB2,0.39258134,ENSG00000055208
6,ALOX5AP,0.02170435,ENSG00000132965
7,CD69,0.027654294,ENSG00000110848
8,RPS23,0.0001356621,ENSG00000186468
9,RPS26,0.0011445464,ENSG00000197728
10,ARHGAP21,0.113349296,ENSG00000107863
11,NUTM2B-AS1,0.2677139,ENSG00000225484
12,BRWD1,0.3899999,ENSG00000185658
13,RAB1A,0.47475013,ENSG00000138069
14,SLC25A37,0.02838897,ENSG00000147454
15,AP3S1,0.13968106,ENSG00000177879
16,SRGN,0.043469135,ENSG00000122862
17,ANXA7,0.06506796,ENSG00000138279
18,ZNF207,0.109410755,ENSG00000010244
19,MAP4K5,0.22886066,ENSG00000012983
20,ZBTB10,0.045922164,ENSG00000205189
21,BCL2A1,0.010401425,ENSG00000140379
22,KLHL20,0.15175284,ENSG00000076321
23,RPL34,0.0010007487,ENSG00000109475
24,HIPK1,0.09757552,ENSG00000163349
25,RORA,0.11816106,ENSG00000069667
26,ACLY,0.048886097999999996,ENSG00000131473
27,MAPK1,0.20369108,ENSG00000100030
28,MYO9A,0.08305783,ENSG00000066933
29,SPAG9,1.1371712999999999,ENSG00000008294
30,NAA50,0.32400256,ENSG00000121579
31,FOSL2,0.009308611999999999,ENSG00000075426
32,RBM33,0.40572290000000005,ENSG00000184863
33,QRICH1,0.18788692,ENSG00000198218
34,IL7R,0.07099555,ENSG00000168685
35,GLS,0.8455785,ENSG00000115419
36,NFE2L2,0.08528709400000001,ENSG00000116044
37,NR4A2,0.031354036,ENSG00000153234
38,C12orf75,0.04265385,ENSG00000235162
39,SUCO,0.3816744,ENSG00000094975
40,FTH1,0.00021189938999999997,ENSG00000167996
41,RRM2,0.10520412,ENSG00000171848
42,ZNF644,0.523588,ENSG00000122482
43,PFKFB3,0.024826374,ENSG00000170525
44,UBR5,0.6132350999999999,ENSG00000104517
45,AP2B1,0.5564036,ENSG00000006125
46,RPS8,9.754086e-05,ENSG00000142937
47,PPP4R2,0.2785635,ENSG00000163605
48,NAP1L1,0.14283837,ENSG00000187109
49,FUBP1,0.40531456,ENSG00000162613
50,PRPF4B,0.07685434,ENSG00000112739
51,CDC73,0.48063877,ENSG00000134371
52,SLC25A33,0.324997,ENSG00000171612
53,ACSL3,0.41547012,ENSG00000123983
54,MCOLN2,0.29574174,ENSG00000153898
55,RASSF5,0.13240473,ENSG00000266094
56,ZEB2,0.4015692,ENSG00000169554
