,gene_name,gamma,gene_id
0,LMTK2,0.14262950000000002,ENSG00000164715
1,TFF2,0.0064885626,ENSG00000160181
2,DOP1B,0.020259456999999998,ENSG00000142197
3,UGGT1,0.17424165,ENSG00000136731
4,CD8A,0.0378101,ENSG00000153563
5,RPS13,0.0015634183,ENSG00000110700
6,DESI2,0.24361649,ENSG00000121644
7,VCAM1,0.0050844736,ENSG00000162692
8,PICALM,0.8993027,ENSG00000073921
9,SOS2,0.124725066,ENSG00000100485
10,PRPS2,0.12417958,ENSG00000101911
11,ATF3,0.040778298,ENSG00000162772
12,JMJD1C,0.5805564999999999,ENSG00000171988
13,IFI30,0.0005779492,ENSG00000216490
14,IRF8,0.06277249,ENSG00000140968
15,EEF1A1,0.0005960826,ENSG00000156508
16,LDLRAD4,0.25998393,ENSG00000168675
17,TXN,0.008872259,ENSG00000136810
18,CA2,0.004532555,ENSG00000104267
19,BRI3,0.13066748,ENSG00000164713
20,PPIP5K2,0.18510798,ENSG00000145725
21,TFF1,0.0012769287,ENSG00000160182
22,AGR2,0.009555161,ENSG00000106541
23,GKN2,0.006911674499999999,ENSG00000183607
24,LMO7,0.23885079,ENSG00000136153
25,ANXA10,0.007861571,ENSG00000109511
26,CENPC,0.38907188,ENSG00000145241
27,ST14,0.0058659213,ENSG00000149418
28,REL,0.028108012,ENSG00000162924
29,AKR1C1,0.0031543546,ENSG00000187134
30,CBLC,0.013633981000000002,ENSG00000142273
31,ATP1B1,0.004817589000000001,ENSG00000143153
32,BIRC3,0.07407807,ENSG00000023445
33,RGCC,0.314004,ENSG00000102760
34,FTH1,0.0018277648,ENSG00000167996
35,ZRANB2,0.15318485,ENSG00000132485
36,EHBP1L1,0.03677556,ENSG00000173442
37,MBTD1,0.052034564000000005,ENSG00000011258
38,KRT8,0.004492109,ENSG00000170421
39,EHD1,0.054331444000000007,ENSG00000110047
40,PHGR1,0.00030322876,ENSG00000233041
41,TMPRSS2,0.022370901000000002,ENSG00000184012
42,GKN1,0.0005597517,ENSG00000169605
43,DUOX2,0.008274575,ENSG00000140279
44,IL4R,0.31245664,ENSG00000077238
45,CLU,0.0026836565,ENSG00000120885
46,STXBP2,0.021574311000000002,ENSG00000076944
47,S100A6,4.691053e-05,ENSG00000197956
48,GSN,0.0039884303999999995,ENSG00000148180
49,ACTB,0.0014868017,ENSG00000075624
50,CLTB,0.105104744,ENSG00000175416
51,CYSTM1,0.024783216,ENSG00000120306
52,S100P,0.0042168777,ENSG00000163993
53,VILL,0.09702624,ENSG00000136059
54,UGCG,0.022854048999999998,ENSG00000148154
55,ATP6V1A,0.2613448,ENSG00000114573
56,CTSD,0.0033475973,ENSG00000117984
57,ETNK1,0.12602127,ENSG00000139163
58,ICOS,0.07118163,ENSG00000163600
59,SYTL2,0.15374248,ENSG00000137501
60,CORO2A,0.13976702,ENSG00000106789
61,FBLIM1,0.032178633,ENSG00000162458
62,ASAP2,0.030687307999999996,ENSG00000151693
63,EPS8L2,0.0008643042500000001,ENSG00000177106
64,UGDH,0.022496166,ENSG00000109814
65,KRT19,0.0038640292,ENSG00000171345
66,CDC37,0.03284177,ENSG00000105401
67,UBL3,1.0639528,ENSG00000122042
68,TLE5,0.0117045,ENSG00000104964
69,TM9SF3,0.07780561,ENSG00000077147
70,HPGD,0.22552522,ENSG00000164120
71,CHMP2B,0.07659209,ENSG00000083937
72,TESC,0.015087875,ENSG00000088992
73,SERF2,0.0018432171,ENSG00000140264
74,ZBTB7C,0.02875302,ENSG00000184828
75,RASEF,0.18436162,ENSG00000165105
76,CD24,0.004985084,ENSG00000272398
77,ME1,0.9895101000000001,ENSG00000065833
78,TMEM63B,0.035957962,ENSG00000137216
79,CD74,0.0043895035,ENSG00000019582
80,PDLIM5,0.04334874,ENSG00000163110
81,PERP,0.03486378,ENSG00000112378
82,CST3,0.00054220227,ENSG00000101439
83,TSPAN8,0.009768816999999999,ENSG00000127324
84,PSAP,0.010910403999999999,ENSG00000197746
85,MUC1,0.0026528515999999997,ENSG00000185499
86,MICU1,0.85971564,ENSG00000107745
87,RAB11A,0.05402496,ENSG00000103769
88,PIGR,0.009341694000000001,ENSG00000162896
89,MSMB,0.0016289441,ENSG00000263639
90,UPF2,0.4570401,ENSG00000151461
91,EFHD2,0.004524252,ENSG00000142634
92,JPT1,0.054617412000000004,ENSG00000189159
93,MAL,0.009603799,ENSG00000172005
94,NDUFB4,0.017121816,ENSG00000065518
95,DSG2,0.014840401000000001,ENSG00000046604
96,OPTN,0.13842943,ENSG00000123240
97,MGAT5,0.2908823,ENSG00000152127
98,IGLV3-1,3.3439806e-05,ENSG00000211673
99,SKIL,0.19528618,ENSG00000136603
100,FHL2,0.014510035,ENSG00000115641
101,EIF3J,0.07791826,ENSG00000104131
102,FOXA3,0.018386189,ENSG00000170608
103,PALLD,0.02709088,ENSG00000129116
104,QSOX1,0.013667553999999998,ENSG00000116260
105,PIK3C2G,0.1435767,ENSG00000139144
106,VSIG2,0.009028046999999999,ENSG00000019102
107,TRIM25,0.10469313,ENSG00000121060
108,COPE,0.027737252,ENSG00000105669
109,NUFIP2,0.23131749,ENSG00000108256
110,TERF1,0.12520029,ENSG00000147601
111,AHR,0.31897095,ENSG00000106546
112,DST,0.0022565203,ENSG00000151914
113,SORBS2,0.08085723,ENSG00000154556
114,ANK2,0.7359276,ENSG00000145362
115,SPARCL1,0.008601356999999999,ENSG00000152583
116,ERBB3,0.015474695,ENSG00000065361
117,SAMD4B,0.118661344,ENSG00000179134
118,GAPDH,0.0021751502,ENSG00000111640
119,CHMP4B,0.08228205,ENSG00000101421
120,ACSL4,0.06257537,ENSG00000068366
121,DLC1,0.014584088,ENSG00000164741
122,SPATA6,0.008068476,ENSG00000132122
123,NF1,0.25754052,ENSG00000196712
124,LMNA,0.049528927,ENSG00000160789
125,KMT2A,0.12845843,ENSG00000118058
126,AHNAK,0.017646514,ENSG00000124942
127,DYNC1H1,0.10793857,ENSG00000197102
128,XRN1,0.5837903,ENSG00000114127
129,VIM,0.024929414,ENSG00000026025
130,SNX29,0.59212714,ENSG00000048471
131,SYNE2,0.5310043000000001,ENSG00000054654
132,DUSP6,0.0066276304,ENSG00000139318
133,RBBP6,0.042469587,ENSG00000122257
134,CCDC144A,0.036803387,ENSG00000170160
135,FRYL,0.31666946,ENSG00000075539
136,ESRRG,0.5283952,ENSG00000196482
137,VSIG1,0.0045211576,ENSG00000101842
138,BAG1,0.076480046,ENSG00000107262
139,HNRNPAB,0.053251583,ENSG00000197451
140,TSPO,0.0034918253999999998,ENSG00000100300
141,KIAA1671,0.4463683,ENSG00000197077
142,TPP2,0.34916028,ENSG00000134900
143,NIBAN2,0.0028385068,ENSG00000136830
144,TMC5,0.075541556,ENSG00000103534
145,APLP2,0.22896512,ENSG00000084234
146,NUTM2A-AS1,0.23971017,ENSG00000223482
147,CTSE,0.0038552852,ENSG00000196188
148,ARRDC1,0.004463809,ENSG00000197070
149,RAB27B,0.04526835,ENSG00000041353
150,PGC,0.0015735223,ENSG00000096088
151,CNOT2,0.54961085,ENSG00000111596
152,HM13,0.2689591,ENSG00000101294
153,RABL6,0.027244471,ENSG00000196642
154,KIF13B,1.2095671000000001,ENSG00000197892
155,UBC,0.0037290803,ENSG00000150991
156,SLC2A3,0.04675144,ENSG00000059804
157,ENOSF1,0.1444984,ENSG00000132199
158,ZEB1,1.1149424,ENSG00000148516
159,INTS7,0.19355428,ENSG00000143493
160,TSPAN15,0.006260158,ENSG00000099282
161,TMEM219,0.03846331,ENSG00000149932
162,PRAG1,0.19348006,ENSG00000275342
163,ABL1,0.49256754,ENSG00000097007
164,SERPINB1,0.011892299999999998,ENSG00000021355
165,PFN1,0.0011495795,ENSG00000108518
166,CDK11A,0.07626553,ENSG00000008128
167,ZBTB7A,0.075448535,ENSG00000178951
168,IQGAP2,1.7041976000000003,ENSG00000145703
169,HEATR5B,0.19905221,ENSG00000008869
170,NDUFA13,0.018488545,ENSG00000186010
171,SPATS2L,0.025616627000000003,ENSG00000196141
172,RPL10,0.0044497040000000005,ENSG00000147403
173,SERPINB6,0.0567222,ENSG00000124570
174,ABCC5,0.024721632,ENSG00000114770
175,ABHD2,0.3270814,ENSG00000140526
176,GADD45A,0.048200995,ENSG00000116717
177,TLE1,0.022231191,ENSG00000196781
178,ZNRF2,0.40525892,ENSG00000180233
179,RAC1,0.027681075,ENSG00000136238
180,SPINK1,0.0037094143,ENSG00000164266
181,SCNN1A,0.012645623,ENSG00000111319
182,MT1E,0.0019259715,ENSG00000169715
183,SMIM14,0.0051661427,ENSG00000163683
184,DDX60,0.046382673,ENSG00000137628
185,DYRK1A,1.0496517,ENSG00000157540
186,MLPH,0.035037197,ENSG00000115648
187,DDX3X,0.028378872000000003,ENSG00000215301
188,COX7B,0.008809143,ENSG00000131174
189,CLDN18,0.04809025,ENSG00000066405
190,ZFP36,0.0055486923,ENSG00000128016
191,CSNK1D,0.05532106,ENSG00000141551
