,gene_name,gamma,gene_id
0,IL13RA1,0.06104226,ENSG00000131724
1,CLU,0.0014512879999999998,ENSG00000120885
2,GPX3,0.00090449787,ENSG00000211445
3,SGMS2,0.240128,ENSG00000164023
4,ANTXR2,0.6650444000000001,ENSG00000163297
5,CCDC80,0.014938983999999999,ENSG00000091986
6,NIT2,0.041660916,ENSG00000114021
7,SCARA5,0.028635958,ENSG00000168079
8,LGALS1,0.0046329186,ENSG00000100097
9,FOS,4.338612599999999e-06,ENSG00000170345
10,FBN1,0.1778325,ENSG00000166147
11,PLA2G2A,0.0016827779,ENSG00000188257
12,CORO1C,0.32241213,ENSG00000110880
13,INTS13,0.09651434,ENSG00000064102
14,OAZ2,0.06002977,ENSG00000180304
15,ZFP36,0.0020622413,ENSG00000128016
16,ALDH1A3,0.05160153,ENSG00000184254
17,MFAP5,0.0057695564000000005,ENSG00000197614
18,THBS2,0.0062734884999999995,ENSG00000186340
19,TMX3,0.14943738,ENSG00000166479
20,TMSB4X,0.00017172378,ENSG00000205542
21,CCL19,0.0004405743,ENSG00000172724
22,TSTD3,0.06892312,ENSG00000279170
23,PHF20,0.014092661999999999,ENSG00000025293
24,BPIFB1,0.0072490309999999995,ENSG00000125999
25,IGFBP7,0.012988672,ENSG00000163453
26,PTMA,0.0030798065,ENSG00000187514
27,LYZ,4.4973744999999996e-05,ENSG00000090382
28,TPM2,0.005898301999999999,ENSG00000198467
29,SLPI,0.0028548761999999997,ENSG00000124107
30,NAPA,0.050915997000000005,ENSG00000105402
31,COL3A1,0.008605346,ENSG00000168542
32,ATN1,0.07477493,ENSG00000111676
33,IRF8,0.25896192,ENSG00000140968
34,IFITM3,0.000541021,ENSG00000142089
35,UBR1,0.61531335,ENSG00000159459
36,SRP19,0.06860676,ENSG00000153037
37,FSTL1,0.044056933,ENSG00000163430
38,FTL,1.9276886e-05,ENSG00000087086
39,AGTPBP1,0.2684841,ENSG00000135049
40,HIBADH,0.08512457,ENSG00000106049
41,POLR2F,0.033218473,ENSG00000100142
42,CD74,0.0022316116,ENSG00000019582
43,RPS27,6.337635000000001e-05,ENSG00000177954
44,VCAN,0.07582327,ENSG00000038427
45,ST6GAL1,0.34974109999999997,ENSG00000073849
46,MAEA,0.08135789,ENSG00000090316
47,TYMP,0.00459263,ENSG00000025708
48,SLC9A3R1,0.07731437,ENSG00000109062
49,EPB41L3,0.04182128,ENSG00000082397
50,GLA,0.0067323204,ENSG00000102393
51,LCN2,0.0007693346000000001,ENSG00000148346
52,VPS8,0.30090883,ENSG00000156931
53,ATR,0.12914696,ENSG00000175054
54,APOD,0.00026016837,ENSG00000189058
55,ATRIP,0.021028275,ENSG00000164053
56,FAM20A,0.005686981,ENSG00000108950
57,KRT6A,0.010113024,ENSG00000205420
58,CLIC4,0.059732597000000005,ENSG00000169504
59,PCGF3,0.047037393,ENSG00000185619
60,FAM214A,0.62174046,ENSG00000047346
61,CREBRF,0.20094445,ENSG00000164463
62,NUP58,0.14849593,ENSG00000139496
63,COL4A2,0.050106026,ENSG00000134871
64,THBS1,0.016396295,ENSG00000137801
65,S100A6,0.00022591771,ENSG00000197956
66,TRIP10,0.047437564,ENSG00000125733
67,NFKB2,0.0683755,ENSG00000077150
