gene_id,gene_name,log(fit_beta),log(fit_gamma)
ENSG00000188822,CNR2,-2.357656232888619,-1.3626642295181954
ENSG00000134684,YARS,-1.7649959618047464,-1.4024587295043378
ENSG00000117394,SLC2A1,-1.9123434747505983,-2.1732680801229423
ENSG00000154451,GBP5,0.9298830989357848,-0.9237270362171669
ENSG00000069702,TGFBR3,-3.4136163573173226,-1.424421269945906
ENSG00000023909,GCLM,-0.00755753696792118,-0.5671771025006057
ENSG00000134215,VAV3,-3.1768109107833338,-1.3127304056461715
ENSG00000162777,DENND2D,0.5064800981630698,-1.1567013830913289
ENSG00000134250,NOTCH2,-2.2531695785727868,-1.3703915716785982
ENSG00000163131,CTSS,0.1614088088744041,-1.2707657257487408
ENSG00000163191,S100A11,2.5859942989291818,-0.30206976960624776
ENSG00000143297,FCRL5,-1.960397595897804,-2.036630284113054
ENSG00000160856,FCRL3,-1.4322472845953296,-1.569547167882872
ENSG00000132704,FCRL2,-1.3330009948037151,-1.1802968158927871
ENSG00000163534,FCRL1,-3.641377558660772,-2.384451407607725
ENSG00000162739,SLAMF6,-1.4263817828183023,-1.5591074550950963
ENSG00000117090,SLAMF1,-1.6055864383736744,-1.665249194502442
ENSG00000198821,CD247,-1.9521853015585444,-1.3876004103233324
ENSG00000073756,PTGS2,1.01773225029852,-1.161687035850451
ENSG00000143851,PTPN7,-0.14149354763795952,-1.2099764285291683
ENSG00000143772,ITPKB,-2.4959823696095014,-1.6382136260119005
ENSG00000142634,EFHD2,1.6971283227810767,-0.24527211329874946
ENSG00000157978,LDLRAP1,0.9219308298297709,-1.1445107941826893
ENSG00000142765,SYTL1,0.6566967954617495,-1.4161530107009237
ENSG00000198520,ARMH1,0.5781575282023809,-1.7480567817384425
ENSG00000162599,NFIA,-3.5119281999543595,-2.778364893494829
ENSG00000137959,IFI44L,0.9254496451420194,-1.5279089722251022
ENSG00000142875,PRKACB,-1.5589332350497005,-1.1874781762763125
ENSG00000117281,CD160,0.5896371620932481,-0.6601889795015276
ENSG00000160789,LMNA,-2.8548397209116603,-2.1417136202047398
ENSG00000158481,CD1C,2.3342921145762503,-0.6718884875487734
ENSG00000163563,MNDA,1.0963306971637408,-1.5725404372689782
ENSG00000181036,FCRL6,-0.3665941816505334,-1.6034169055316092
ENSG00000026751,SLAMF7,0.3689294537512916,-0.3620168512359775
ENSG00000116191,RALGPS2,-3.756184564959005,-2.057661947269985
ENSG00000150681,RGS18,-1.7004000120325518,0.0567785757759542
ENSG00000116741,RGS2,3.013343753898181,-1.091494392034429
ENSG00000058668,ATP2B4,-2.065488840225996,-1.1442849856124289
ENSG00000082512,TRAF5,0.39055570692435904,-1.2168696488662882
ENSG00000065675,PRKCQ,-3.8339483797372296,-2.3568707279889667
ENSG00000152465,NMT2,-1.6429139393642995,-1.6715076649034766
ENSG00000266412,NCOA4,0.2831762737930004,-1.2791317201961867
ENSG00000182010,RTKN2,-1.3026345597131572,-2.0602581408602334
ENSG00000180644,PRF1,1.522946174484731,-1.7477307321106683
ENSG00000197746,PSAP,2.9602851249743165,0.3619220288471526
ENSG00000107438,PDLIM1,1.4703849286874426,-0.28033015860642896
ENSG00000107554,DNMBP,-2.1685210545934592,-1.5707529943983465
ENSG00000099204,ABLIM1,-1.7225434626121805,-1.4257829776943391
ENSG00000189319,FAM53B,-1.8576652631790864,-1.3930697349107777
ENSG00000237943,PRKCQ-AS1,-1.7150528829233922,-1.4847049685089981
ENSG00000026025,VIM,2.1874629552604854,-0.6402239394815051
ENSG00000078403,MLLT10,-0.1573279330225174,0.2124545464054086
ENSG00000107551,RASSF4,0.8224434536731663,-1.0396275370401171
ENSG00000012779,ALOX5,-0.9569558112729392,-0.9873751324036988
ENSG00000150347,ARID5B,-2.1494287153356644,-1.3258588532560212
ENSG00000122862,SRGN,-0.8796487822790475,-1.097622842203429
ENSG00000035403,VCL,-0.6391690794945776,-0.3751276350204548
ENSG00000180628,PCGF5,-2.492877274964884,-1.5796118850676573
ENSG00000107854,TNKS2,-1.3746013971483282,-1.180306168721074
ENSG00000107954,NEURL1,-0.6362008841745074,-0.17333255867604744
ENSG00000148834,GSTO1,0.8452722935866249,-1.4449981506309642
ENSG00000148737,TCF7L2,-3.4124901428290686,-1.4819124207437084
ENSG00000185187,SIGIRR,2.2917786320841094,-1.561770950647534
ENSG00000117984,CTSD,3.6828332872869267,-1.3242600815978185
ENSG00000129757,CDKN1C,3.6959177704351287,0.16595401435692328
ENSG00000133812,SBF2,-5.183512684924347,-3.6186034805876464
ENSG00000085063,CD59,1.7613506141180009,-0.5489214805088901
ENSG00000110442,COMMD9,-0.8098334277494024,-1.8650274731946348
ENSG00000137486,ARRB1,-2.3183605106577274,-1.405102681161005
ENSG00000110172,CHORDC1,-0.6648643933712077,-1.617803377844942
ENSG00000186174,BCL9L,1.4845415283123078,-1.1309343199057456
ENSG00000130592,LSP1,0.8066247641223733,-1.3640039180075567
ENSG00000166333,ILK,-3.9826849104554176,-1.461342529589381
ENSG00000197601,FAR1,-1.99775005943616,-1.4503501350901489
ENSG00000152270,PDE3B,-3.0064214511909366,-1.2324500389163988
ENSG00000157570,TSPAN18,-1.9239176486521017,-1.8148668015201077
ENSG00000166927,MS4A7,0.040872318116117,-1.6320778038633326
ENSG00000156738,MS4A1,2.3294899485818013,-0.4926583692889351
ENSG00000013725,CD6,0.4460634396575023,-1.2682774653449929
ENSG00000245532,NEAT1,3.140020524065505,-1.116328789816451
