gene_id,gene_name,log(velocity_gamma)
ENSG00000127054,INTS11,-2.5516946
ENSG00000221978,CCNL2,-1.9553002
ENSG00000242485,MRPL20,-5.8191514
ENSG00000248333,CDK11B,-0.22483349
ENSG00000078369,GNB1,-2.0718346000000003
ENSG00000162585,FAAP20,1.1962959
ENSG00000171603,CLSTN1,-0.15324561
ENSG00000160049,DFFA,-1.9044273999999997
ENSG00000171824,EXOSC10,-1.5966930000000001
ENSG00000177000,MTHFR,-0.93187135
ENSG00000179743,AL450998.2,-1.2760042
ENSG00000116809,ZBTB17,-0.4683219
ENSG00000159363,ATP13A2,-0.6135961999999999
ENSG00000077549,CAPZB,-2.4340734
ENSG00000127483,HP1BP3,-0.11285196
ENSG00000117298,ECE1,1.0244434999999998
ENSG00000090686,USP48,-0.07967471
ENSG00000169641,LUZP1,0.33544147
ENSG00000117305,HMGCL,-0.59830266
ENSG00000188822,CNR2,0.28896659999999996
ENSG00000188529,SRSF10,0.15632276
ENSG00000117616,RSRP1,0.70126945
ENSG00000158161,EYA3,0.87352854
ENSG00000134644,PUM1,0.5181073
ENSG00000134684,YARS,0.52229494
ENSG00000163867,ZMYM6,-0.15301137
ENSG00000119535,CSF3R,0.6189978
ENSG00000196449,YRDC,-1.031415
ENSG00000204084,INPP5B,0.09980198
ENSG00000183431,SF3A3,-1.1077161
ENSG00000043514,TRIT1,-0.5366866
ENSG00000127124,HIVEP3,0.97465
ENSG00000198815,FOXJ3,1.1440055
ENSG00000117394,SLC2A1,-1.8319463
ENSG00000117425,PTCH2,-2.8114862
ENSG00000070759,TESK2,1.6061201
ENSG00000079277,MKNK1,-1.744673
ENSG00000117862,TXNDC12,0.30903745
ENSG00000121310,ECHDC2,-0.86360955
ENSG00000058799,YIPF1,-1.1422434
ENSG00000116641,DOCK7,-0.35397044
ENSG00000066557,LRRC40,-1.8325546000000001
ENSG00000142892,PIGK,0.27997726
ENSG00000162613,FUBP1,0.66136086
ENSG00000153898,MCOLN2,-0.1950896
ENSG00000183291,SELENOF,-1.7947808999999997
ENSG00000117228,GBP1,-2.5752618
ENSG00000154451,GBP5,-3.2464068
ENSG00000069702,TGFBR3,1.8479682000000002
ENSG00000174842,GLMN,0.45315367
ENSG00000223745,CCDC18-AS1,0.78987813
