,gene_id,gene_name,velocity_gamma
0,ENSG00000273748,AL592183.1,1.8775783
1,ENSG00000175756,AURKAIP1,0.01376965
2,ENSG00000242485,MRPL20,0.042718157
3,ENSG00000160075,SSU72,0.0348291
4,ENSG00000074800,ENO1,0.031997524
5,ENSG00000171603,CLSTN1,0.75292027
6,ENSG00000177000,MTHFR,0.2830901
7,ENSG00000132906,CASP9,0.34835264
8,ENSG00000179743,AL450998.2,0.22614594
9,ENSG00000159363,ATP13A2,0.28813043
10,ENSG00000053371,AKR7A2,0.069345936
11,ENSG00000127483,HP1BP3,0.5883725999999999
12,ENSG00000075151,EIF4G3,5.5266720000000005
13,ENSG00000117298,ECE1,1.9037366
14,ENSG00000142798,HSPG2,1.0151477
15,ENSG00000007968,E2F2,0.4133398
16,ENSG00000117305,HMGCL,0.29216328
17,ENSG00000117614,SYF2,0.01982696
18,ENSG00000117616,RSRP1,4.1449704
19,ENSG00000188672,RHCE,3.1296027000000004
20,ENSG00000127423,AUNIP,3.4963624
21,ENSG00000117632,STMN1,0.119914524
22,ENSG00000142751,GPN2,0.2486405
23,ENSG00000158195,WASF2,0.14062187
24,ENSG00000158161,EYA3,1.8697364
25,ENSG00000197989,SNHG12,0.6481295
26,ENSG00000120656,TAF12,0.9068149
27,ENSG00000162511,LAPTM5,0.008426661
28,ENSG00000162520,SYNC,0.1122648
29,ENSG00000116560,SFPQ,0.2538126
30,ENSG00000092853,CLSPN,0.23201771
31,ENSG00000134697,GNL2,0.1523394
32,ENSG00000116922,C1orf109,0.72311157
33,ENSG00000117394,SLC2A1,0.09957845
34,ENSG00000117395,EBNA1BP2,0.021210346
35,ENSG00000159479,MED8,0.3986333
36,ENSG00000117450,PRDX1,0.01695142
37,ENSG00000117862,TXNDC12,0.8678781999999999
38,ENSG00000085840,ORC1,0.42085034
39,ENSG00000116209,TMEM59,0.10236546
40,ENSG00000157216,SSBP3,2.101678
41,ENSG00000116133,DHCR24,0.09446204
42,ENSG00000162604,TM2D1,0.4141177
43,ENSG00000116641,DOCK7,1.5677543
44,ENSG00000142864,SERBP1,0.020457698
45,ENSG00000024526,DEPDC1,0.10560098
46,ENSG00000162613,FUBP1,0.92451465
47,ENSG00000162642,C1orf52,0.07753134
48,ENSG00000142867,BCL10,0.23680168
49,ENSG00000137947,GTF2B,0.4730644
50,ENSG00000067208,EVI5,1.9550284
51,ENSG00000223745,CCDC18-AS1,5.823556
52,ENSG00000023909,GCLM,0.27080524
