,fit_beta,fit_gamma,Accession
AURKAIP1,6.165966568344734,0.05522222278557164,ENSG00000175756
MRPL20,2.3357768098885505,0.08156987928168973,ENSG00000242485
ENO1,2.4701500960595326,0.06484965427035097,ENSG00000074800
CASP9,0.42059509059063616,0.1868860211184232,ENSG00000132906
HP1BP3,0.11960729512696,0.08527750350608379,ENSG00000127483
E2F2,0.4751279214498263,0.19791762711858502,ENSG00000007968
LAPTM5,8.513397690724661,0.1910762242499124,ENSG00000162511
CLSPN,1.1724173235987234,0.2617725075946062,ENSG00000092853
GNL2,1.006787025292775,0.09521683063989081,ENSG00000134697
SLC2A1,0.8404776466363344,0.07233477234357687,ENSG00000117394
PRDX1,19.952159738214053,0.36653869874923084,ENSG00000117450
TXNDC12,0.23139921585343573,0.21929674689532197,ENSG00000117862
SERBP1,2.189008973570494,0.04483553770342459,ENSG00000142864
DEPDC1,3.206031528033881,0.367216782343048,ENSG00000024526
GCLM,1.3749345876070593,0.3125509059242718,ENSG00000023909
PSRC1,14.422338745836717,0.5482840343709784,ENSG00000134222
SEC22B,0.428837121964565,0.15180067606304673,ENSG00000265808
TXNIP,1.959895416346529,0.05089984388010178,ENSG00000265972
S100A6,21.681131162817653,0.15775565146930898,ENSG00000197956
S100A13,10.70417844134082,0.12601030152696813,ENSG00000189171
PKLR,3.052398095034309,0.32725647401150404,ENSG00000143627
SSR2,3.721568752609527,0.1688403807778618,ENSG00000163479
COPA,0.1816102821556974,0.07877018103638393,ENSG00000122218
CD84,5.584567873885381,0.35914952307775433,ENSG00000066294
ASPM,1.419505125890274,0.30320370241837563,ENSG00000066279
KIF14,0.3929870014815302,0.3966685576537694,ENSG00000118193
PTPN7,0.7231031267975958,0.21213675485780284,ENSG00000143851
HSD11B1-AS1,0.6079388197593596,0.31327554291249,ENSG00000227591
ACBD3,0.6884388314227731,0.40410897341937596,ENSG00000182827
CDC42BPA,0.02344746067418762,0.04959602323779753,ENSG00000143776
FAM89A,2.3333085881494817,0.22085255643494145,ENSG00000182118
ISG15,2.0097907028141555,0.1198507465288547,ENSG00000187608
ATAD3B,0.7236530593100687,0.21795204473196092,ENSG00000160072
SMIM1,3.999105624897781,0.16423154723298697,ENSG00000235169
SESN2,0.42659744356790313,0.24279567821765002,ENSG00000130766
CDCA8,1.1381359255885117,0.42009259444432995,ENSG00000134690
CAP1,1.3836283120796382,0.06899640683533428,ENSG00000131236
YBX1,7.913196841346625,0.06449416256179774,ENSG00000065978
CDC20,13.504121102799852,0.4920695754565948,ENSG00000117399
KIF2C,0.6337569428325447,0.21144748106076677,ENSG00000142945
NASP,0.7057908228818527,0.3082260473599548,ENSG00000132780
CDKN2C,4.77689643244135,0.11258863724677805,ENSG00000123080
PCSK9,1.2195815242743044,0.1666998879657667,ENSG00000169174
SH3GLB1,0.45543902770535905,0.05659882039191218,ENSG00000097033
TLCD4,0.8435252421751851,0.30949026115031897,ENSG00000152078
CD53,1.8886108910366204,0.34434762647254114,ENSG00000143119
MLLT11,3.6296705201042956,0.10541446963738718,ENSG00000213190
S100A1,3.083339666383194,0.2930914378328191,ENSG00000160678
FDPS,0.873309354587167,0.5138222471389369,ENSG00000160752
NTRK1,0.5996081505412514,0.16324814655295702,ENSG00000198400
RCSD1,0.4929176398588231,0.4175316126310371,ENSG00000198771
CFH,0.1971097993538261,0.21947470765281382,ENSG00000000971
PTPRC,0.47568753775024936,0.2951795751354129,ENSG00000081237
ATP2B4,0.08473699090794289,0.13342337338147578,ENSG00000058668
CR1L,0.0848006837586929,0.16283527775136955,ENSG00000197721
LINC00467,1.193420746762458,0.31731171650686124,ENSG00000153363
PPP2R5A,0.4809461487447239,0.2547743648209344,ENSG00000066027
CENPF,3.3160691323359837,0.5642140922336808,ENSG00000117724
RRP15,3.451145323414701,0.24760534856881303,ENSG00000067533
IDI1,0.46827567412648013,0.03154572266781272,ENSG00000067064
WAC-AS1,0.6026145763880074,0.2065503084696104,ENSG00000254635
TMEM273,1.365504040179711,0.3438336764940903,ENSG00000204161
VSIR,4.359725936732371,0.22831435840075115,ENSG00000107738
PSAP,0.9384178068951341,0.044638287039050824,ENSG00000197746
P4HA1,0.8505226877961621,0.5750884133694221,ENSG00000122884
DUSP13,1.2991535669832002,0.18448549973760411,ENSG00000079393
OAT,1.686246834120912,0.17446084122700423,ENSG00000065154
MKI67,12.233082809528428,0.3017030695514773,ENSG00000148773
BNIP3,13.219502108051074,0.23045227152100942,ENSG00000176171
AKR1C1,1.2841177733379394,0.26813451729620197,ENSG00000187134
CELF2,0.2719121007937202,0.23532215287997527,ENSG00000048740
MCM10,0.6096353923142498,0.21243658076857297,ENSG00000065328
VIM,54.81271216318274,0.6782261411672867,ENSG00000026025
CDK1,1.5588377894237464,0.23077332246956608,ENSG00000170312
DDX21,4.807183639286405,0.2786051672453177,ENSG00000165732
SRGN,3.4932086746323643,0.15957927657552723,ENSG00000122862
UNC5B,0.40601383769773547,0.16254057301833671,ENSG00000107731
FUT11,0.601896428031944,0.4150139082669109,ENSG00000196968
VCL,0.6440063943778095,0.3263545061656145,ENSG00000035403
SNCG,13.902359560810806,0.21508710289249772,ENSG00000173267
IFITM3,2.2507590629425356,0.09376241348755965,ENSG00000142089
SOX6,0.054643075186541934,0.3059846628345106,ENSG00000110693
LIN7C,1.8661837113370783,0.10912373983050326,ENSG00000148943
LMO2,1.6939545411736172,0.31783435827278483,ENSG00000135363
PRG2,15.72021230643631,0.6163077307233352,ENSG00000186652
FADS1,12.62737944983619,0.2776430236569149,ENSG00000149485
